Wall time,Step,Value
1735348710.8912787,391,4.012017726898193
1735348710.969169,0,4.012017726898193
1735348752.5637643,782,3.8339805603027344
1735348752.6372707,1,3.8339805603027344
1735348794.1311936,1173,3.5144927501678467
1735348794.2105339,2,3.5144927501678467
1735348835.7703197,1564,3.3346617221832275
1735348835.8326542,3,3.3346617221832275
1735348877.334754,1955,3.179835557937622
1735348877.3972673,4,3.179835557937622
1735348919.1968064,2346,3.1257781982421875
1735348919.2562609,5,3.1257781982421875
1735348960.7590718,2737,2.908281087875366
1735348960.831128,6,2.908281087875366
1735349002.4893827,3128,2.792343854904175
1735349002.5553493,7,2.792343854904175
1735349044.0881593,3519,2.7124183177948
1735349044.1611736,8,2.7124183177948
1735349085.7052045,3910,2.68102765083313
1735349085.7814136,9,2.68102765083313
1735349127.2154417,4301,2.648939847946167
1735349127.2896752,10,2.648939847946167
1735349168.7520573,4692,2.5040032863616943
1735349168.8262005,11,2.5040032863616943
1735349210.2294123,5083,2.4434330463409424
1735349210.2930796,12,2.4434330463409424
1735349251.8052795,5474,2.3479833602905273
1735349251.9030125,13,2.3479833602905273
1735349293.5820565,5865,2.3893508911132812
1735349293.6452963,14,2.3893508911132812
1735349335.0043015,6256,2.304412364959717
1735349335.068934,15,2.304412364959717
1735349376.7901087,6647,2.2335166931152344
1735349376.8857272,16,2.2335166931152344
1735349418.4565363,7038,2.1344141960144043
1735349418.5388389,17,2.1344141960144043
1735349460.1134162,7429,2.2177493572235107
1735349460.1877992,18,2.2177493572235107
1735349501.5838938,7820,2.096067190170288
1735349501.6479268,19,2.096067190170288
1735349543.1683154,8211,2.173426628112793
1735349543.2440853,20,2.173426628112793
1735349584.5862536,8602,2.096137285232544
1735349584.6577442,21,2.096137285232544
1735349626.3154292,8993,2.061751365661621
1735349626.3979475,22,2.061751365661621
1735349668.0919306,9384,1.9893358945846558
1735349668.158506,23,1.9893358945846558
1735349709.6623683,9775,2.031398296356201
1735349709.7247474,24,2.031398296356201
1735349751.0234501,10166,2.004098415374756
1735349751.0879717,25,2.004098415374756
1735349792.537214,10557,2.045219659805298
1735349792.6043012,26,2.045219659805298
1735349834.4732573,10948,1.9690475463867188
1735349834.5436218,27,1.9690475463867188
1735349875.9780595,11339,1.9466402530670166
1735349876.0481677,28,1.9466402530670166
1735349917.6871877,11730,1.9903923273086548
1735349917.7584693,29,1.9903923273086548
1735349959.2297373,12121,2.032766580581665
1735349959.2998214,30,2.032766580581665
1735350001.2417815,12512,1.9621596336364746
1735350001.3234706,31,1.9621596336364746
1735350042.983985,12903,1.9669487476348877
1735350043.0697064,32,1.9669487476348877
1735350084.7165456,13294,1.9712402820587158
1735350084.7908905,33,1.9712402820587158
1735350126.4011648,13685,1.920905351638794
1735350126.4708457,34,1.920905351638794
1735350168.0660505,14076,2.0986948013305664
1735350168.1547315,35,2.0986948013305664
1735350209.752303,14467,1.9365456104278564
1735350209.8320155,36,1.9365456104278564
1735350251.7024965,14858,1.9942927360534668
1735350251.7854235,37,1.9942927360534668
1735350293.3629122,15249,1.9951953887939453
1735350293.4322407,38,1.9951953887939453
1735350335.08563,15640,1.976782202720642
1735350335.1560931,39,1.976782202720642
1735350376.8212616,16031,1.8762214183807373
1735350376.8928525,40,1.8762214183807373
1735350418.6131792,16422,1.9377942085266113
1735350418.694628,41,1.9377942085266113
1735350460.5168862,16813,1.909605860710144
1735350460.5869052,42,1.909605860710144
1735350502.3087573,17204,1.9244019985198975
1735350502.3891845,43,1.9244019985198975
1735350543.8479247,17595,1.918681263923645
1735350543.9240308,44,1.918681263923645
1735350585.461119,17986,1.9060708284378052
1735350585.548471,45,1.9060708284378052
1735350627.1861286,18377,1.9134495258331299
1735350627.2551272,46,1.9134495258331299
1735350668.7976184,18768,1.9312958717346191
1735350668.8859994,47,1.9312958717346191
1735350710.5540988,19159,1.9923055171966553
1735350710.624856,48,1.9923055171966553
1735350752.3450468,19550,1.8630411624908447
1735350752.4182856,49,1.8630411624908447
1735350784.453747,20254,3.7504310607910156
1735350784.454483,50,3.7504310607910156
1735350815.4796748,20958,3.302050828933716
1735350815.4805202,51,3.302050828933716
1735350846.359231,21662,3.214099645614624
1735350846.3600657,52,3.214099645614624
1735350877.211437,22366,2.802903175354004
1735350877.2121484,53,2.802903175354004
1735350909.4342272,23070,2.610459804534912
1735350909.4347074,54,2.610459804534912
1735350940.2351158,23774,3.0231897830963135
1735350940.2357013,55,3.0231897830963135
1735350972.0080576,24478,2.40936017036438
1735350972.0088549,56,2.40936017036438
1735351003.8968272,25182,2.4308998584747314
1735351003.8975015,57,2.4308998584747314
1735351035.491843,25886,2.1894845962524414
1735351035.4923813,58,2.1894845962524414
1735351067.194819,26590,2.0705385208129883
1735351067.1952689,59,2.0705385208129883
1735351098.1831644,27294,2.0859456062316895
1735351098.183854,60,2.0859456062316895
1735351129.9248445,27998,1.984129548072815
1735351129.9254754,61,1.984129548072815
1735351160.7574685,28702,2.0311331748962402
1735351160.7581122,62,2.0311331748962402
1735351191.669417,29406,1.9465792179107666
1735351191.6699479,63,1.9465792179107666
1735351222.8660278,30110,1.9689799547195435
1735351222.8666966,64,1.9689799547195435
1735351254.1374004,30814,1.8699361085891724
1735351254.1381059,65,1.8699361085891724
1735351285.02157,31518,1.9077776670455933
1735351285.0222187,66,1.9077776670455933
1735351316.558223,32222,1.8623080253601074
1735351316.558767,67,1.8623080253601074
1735351348.6486042,32926,1.8004183769226074
1735351348.649159,68,1.8004183769226074
1735351380.8494246,33630,1.8245512247085571
1735351380.850142,69,1.8245512247085571
1735351412.8643632,34334,1.7817051410675049
1735351412.8650284,70,1.7817051410675049
1735351445.0737555,35038,1.8031425476074219
1735351445.0744576,71,1.8031425476074219
1735351475.878316,35742,1.8237706422805786
1735351475.878863,72,1.8237706422805786
1735351508.0696616,36446,1.7399170398712158
1735351508.070335,73,1.7399170398712158
1735351540.307176,37150,1.7389626502990723
1735351540.3077686,74,1.7389626502990723
1735351572.5518167,37854,1.7592170238494873
1735351572.5524054,75,1.7592170238494873
1735351604.8535595,38558,1.741843342781067
1735351604.8543413,76,1.741843342781067
1735351637.068226,39262,1.6593502759933472
1735351637.0687535,77,1.6593502759933472
1735351669.3534768,39966,1.7970911264419556
1735351669.3540616,78,1.7970911264419556
1735351701.5568888,40670,1.6966584920883179
1735351701.557566,79,1.6966584920883179
1735351733.7520375,41374,1.7343981266021729
1735351733.7525024,80,1.7343981266021729
