Wall time,Step,Value
1733763047.843152,391,3.9365878105163574
1733763048.0534008,0,3.9365878105163574
1733763288.3971865,782,3.6092612743377686
1733763288.5953648,1,3.6092612743377686
1733763526.6862957,1173,3.4201419353485107
1733763526.8800077,2,3.4201419353485107
1733763765.0262792,1564,3.176234245300293
1733763765.2263062,3,3.176234245300293
1733764004.9951541,1955,2.97200083732605
1733764005.2359357,4,2.97200083732605
1733764244.020721,2346,2.863945484161377
1733764244.2028542,5,2.863945484161377
1733764481.9628572,2737,2.7500076293945312
1733764482.1406114,6,2.7500076293945312
1733764719.5939944,3128,2.7140510082244873
1733764719.7859225,7,2.7140510082244873
1733764958.5482023,3519,2.5500364303588867
1733764958.73452,8,2.5500364303588867
1733765197.0825524,3910,2.40678071975708
1733765197.276369,9,2.40678071975708
1733765436.1978228,4301,2.430184841156006
1733765436.3920336,10,2.430184841156006
1733765674.6480026,4692,2.3020122051239014
1733765674.8171284,11,2.3020122051239014
1733765913.4556186,5083,2.21376371383667
1733765913.6325886,12,2.21376371383667
1733766151.8932621,5474,2.219362258911133
1733766152.0690455,13,2.219362258911133
1733766391.536298,5865,2.1303811073303223
1733766391.717469,14,2.1303811073303223
1733766629.962057,6256,2.1705453395843506
1733766630.159883,15,2.1705453395843506
1733766867.5605204,6647,2.0858542919158936
1733766867.7481742,16,2.0858542919158936
1733767106.7493105,7038,2.031414031982422
1733767106.9195461,17,2.031414031982422
1733767347.4770133,7429,2.055962324142456
1733767347.6709096,18,2.055962324142456
1733767586.0847816,7820,1.988250970840454
1733767586.2696927,19,1.988250970840454
1733767825.1578934,8211,2.0119266510009766
1733767825.3477035,20,2.0119266510009766
1733768063.6409748,8602,1.9146380424499512
1733768063.8277323,21,1.9146380424499512
1733768303.222462,8993,2.0389387607574463
1733768303.4431896,22,2.0389387607574463
1733768543.7430844,9384,1.9074019193649292
1733768543.9250274,23,1.9074019193649292
1733768781.8338158,9775,1.9146535396575928
1733768782.0078542,24,1.9146535396575928
1733769020.970335,10166,1.872056007385254
1733769021.1463344,25,1.872056007385254
1733769259.133878,10557,1.9307661056518555
1733769259.3061926,26,1.9307661056518555
1733769497.8022416,10948,1.867085576057434
1733769497.9617422,27,1.867085576057434
1733769735.8400052,11339,1.8152194023132324
1733769735.9950387,28,1.8152194023132324
1733769974.260047,11730,1.8863439559936523
1733769974.41923,29,1.8863439559936523
1733770212.415935,12121,1.8239467144012451
1733770212.6040666,30,1.8239467144012451
1733770450.3135562,12512,1.8301700353622437
1733770450.5010946,31,1.8301700353622437
1733770688.8836572,12903,1.8119632005691528
1733770689.060253,32,1.8119632005691528
1733770927.1972418,13294,1.7845748662948608
1733770927.3848038,33,1.7845748662948608
1733771165.7698023,13685,1.801122784614563
1733771165.955705,34,1.801122784614563
1733771405.3256955,14076,1.7701036930084229
1733771405.5037365,35,1.7701036930084229
1733771644.721642,14467,1.8131532669067383
1733771644.9077077,36,1.8131532669067383
1733771883.1213062,14858,1.7412474155426025
1733771883.3110557,37,1.7412474155426025
1733772122.3696961,15249,1.7194384336471558
1733772122.5567956,38,1.7194384336471558
1733772360.3535628,15640,1.7226207256317139
1733772360.5305727,39,1.7226207256317139
1733772598.5268521,16031,1.7823373079299927
1733772598.7097268,40,1.7823373079299927
1733772836.8696504,16422,1.7798594236373901
1733772837.0575054,41,1.7798594236373901
1733773074.7217643,16813,1.7841382026672363
1733773074.9440696,42,1.7841382026672363
1733773313.2575376,17204,1.6888010501861572
1733773313.4457216,43,1.6888010501861572
1733773551.812198,17595,1.7453646659851074
1733773552.0065117,44,1.7453646659851074
1733773789.908288,17986,1.7901763916015625
1733773790.095255,45,1.7901763916015625
1733774029.7560666,18377,1.72395658493042
1733774029.9412212,46,1.72395658493042
1733774269.3597846,18768,1.7516798973083496
1733774269.5348914,47,1.7516798973083496
1733774508.2555878,19159,1.711629033088684
1733774508.4406638,48,1.711629033088684
1733774746.0473394,19550,1.7014472484588623
1733774746.2318761,49,1.7014472484588623
1733774901.9625015,20254,2.200162172317505
1733774901.9632673,50,2.200162172317505
1733775054.7459776,20958,2.178990364074707
1733775054.7467768,51,2.178990364074707
1733775207.4492085,21662,1.942929744720459
1733775207.4500022,52,1.942929744720459
1733775359.6785173,22366,1.941972255706787
1733775359.6792898,53,1.941972255706787
1733775512.3319263,23070,2.0981130599975586
1733775512.3327286,54,2.0981130599975586
1733775665.4479854,23774,1.964887261390686
1733775665.4488037,55,1.964887261390686
1733775818.1119812,24478,1.920708417892456
1733775818.1128156,56,1.920708417892456
1733775970.7007449,25182,1.989846110343933
1733775970.701741,57,1.989846110343933
1733776122.4178483,25886,1.768589735031128
1733776122.419009,58,1.768589735031128
1733776274.7956004,26590,1.8198671340942383
1733776274.7967768,59,1.8198671340942383
1733776427.5030904,27294,1.9171899557113647
1733776427.5044115,60,1.9171899557113647
1733776580.0075884,27998,1.938206434249878
1733776580.0087554,61,1.938206434249878
1733776732.2883406,28702,1.751451015472412
1733776732.2914274,62,1.751451015472412
1733776887.873849,29406,1.7850805521011353
1733776887.8751233,63,1.7850805521011353
1733777043.8331778,30110,1.6870532035827637
1733777043.834416,64,1.6870532035827637
1733777215.1800992,30814,1.7629311084747314
1733777215.1834273,65,1.7629311084747314
1733777368.8970525,31518,1.6661403179168701
1733777368.8981495,66,1.6661403179168701
1733777522.976549,32222,1.6892226934432983
1733777522.9776247,67,1.6892226934432983
1733777677.8300488,32926,1.6930161714553833
1733777677.8323836,68,1.6930161714553833
1733777832.7268004,33630,1.6742639541625977
1733777832.728022,69,1.6742639541625977
1733778133.2411032,34334,1.6673338413238525
1733778133.242341,70,1.6673338413238525
1733778285.6950512,35038,1.7850866317749023
1733778285.6958141,71,1.7850866317749023
1733778437.7370815,35742,1.7222115993499756
1733778437.7378373,72,1.7222115993499756
1733778589.9214542,36446,1.73677396774292
1733778589.922706,73,1.73677396774292
1733778742.6916127,37150,1.6613624095916748
1733778742.692759,74,1.6613624095916748
1733778895.6812248,37854,1.7708210945129395
1733778895.6820447,75,1.7708210945129395
1733779048.505592,38558,1.7398464679718018
1733779048.506716,76,1.7398464679718018
1733779200.4731386,39262,1.7953357696533203
1733779200.474439,77,1.7953357696533203
1733779354.2674403,39966,1.7086859941482544
1733779354.2685578,78,1.7086859941482544
1733779507.9503808,40670,1.6942657232284546
1733779507.9530156,79,1.6942657232284546
1733779756.1033292,41374,1.5903327465057373
1733779756.1058805,80,1.5903327465057373
1733780016.010181,42078,1.6271650791168213
1733780016.0131595,81,1.6271650791168213
1733780173.2625928,42782,1.5990865230560303
1733780173.263742,82,1.5990865230560303
1733780326.01792,43486,1.7215842008590698
1733780326.0186641,83,1.7215842008590698
1733780479.0356472,44190,1.6439599990844727
1733780479.0368345,84,1.6439599990844727
1733780631.6044323,44894,1.591249942779541
1733780631.6052384,85,1.591249942779541
1733780783.7456958,45598,1.7105462551116943
1733780783.74681,86,1.7105462551116943
1733780946.2774262,46302,1.5931612253189087
1733780946.2843883,87,1.5931612253189087
1733781101.1385922,47006,1.6018248796463013
1733781101.1515658,88,1.6018248796463013
1733781253.3580163,47710,1.6709247827529907
1733781253.3591664,89,1.6709247827529907
1733781406.3507366,48414,1.6289165019989014
1733781406.3520484,90,1.6289165019989014
1733781559.8002672,49118,1.5767455101013184
1733781559.801543,91,1.5767455101013184
1733781712.3591106,49822,1.648133635520935
1733781712.3602567,92,1.648133635520935
1733781865.2138557,50526,1.5065176486968994
1733781865.2171054,93,1.5065176486968994
1733782033.0173228,51230,1.5632048845291138
1733782033.0199246,94,1.5632048845291138
1733782207.1922145,51934,1.5541603565216064
1733782207.1933374,95,1.5541603565216064
1733782360.6362472,52638,1.5186491012573242
1733782360.6390529,96,1.5186491012573242
1733782547.3561158,53342,1.5971492528915405
1733782547.3589313,97,1.5971492528915405
1733782768.3867135,54046,1.6181327104568481
1733782768.390247,98,1.6181327104568481
1733782922.353176,54750,1.5272642374038696
1733782922.3543522,99,1.5272642374038696
1733783074.5897474,55454,1.4857442378997803
1733783074.590678,100,1.4857442378997803
1733783226.8119302,56158,1.5157800912857056
1733783226.8130414,101,1.5157800912857056
1733783378.8822622,56862,1.534184455871582
