Wall time,Step,Value
1733252356.0516443,0,6.18879508972168
1733252574.236877,1,6.172408103942871
1733252789.2707345,2,6.152915954589844
1733253004.9699988,3,6.135223865509033
1733253223.1132762,4,6.112205505371094
1733253440.277344,5,6.081417560577393
1733253656.4796882,6,6.057741641998291
1733253873.8490639,7,6.027514457702637
1733254091.5095577,8,5.999815464019775
1733254309.350615,9,5.973714351654053
1733254526.066319,10,5.951085567474365
1733254745.589554,11,5.925957679748535
1733254966.5749412,12,5.905937671661377
1733255187.8699749,13,5.882420063018799
1733255404.0073366,14,5.866199016571045
1733255619.6350687,15,5.850348472595215
1733255839.6422193,16,5.836137294769287
1733256058.2511506,17,5.825621128082275
1733256271.5353246,18,5.808967113494873
1733256488.0503764,19,5.7923054695129395
1733256705.2062287,20,5.781708240509033
1733256923.0606453,21,5.767935752868652
1733257140.9673545,22,5.750889301300049
1733257358.9193451,23,5.736719608306885
1733257576.75715,24,5.719999313354492
1733257795.5997417,25,5.701251029968262
1733258014.2940006,26,5.685272693634033
1733258226.709634,27,5.665494441986084
1733258443.8523781,28,5.642857551574707
1733258661.1209736,29,5.63093900680542
1733258878.7802823,30,5.615055084228516
1733259092.081267,31,5.599610328674316
1733259309.9169388,32,5.58797025680542
1733259529.2294261,33,5.572262287139893
1733259747.2081847,34,5.5551018714904785
1733259965.9830728,35,5.538524627685547
1733260179.6064591,36,5.526606559753418
1733260395.260771,37,5.515217304229736
1733260612.8511093,38,5.50178861618042
1733260832.517676,39,5.485998630523682
1733261052.7049167,40,5.475325107574463
1733261269.4567246,41,5.461243629455566
1733261486.8034954,42,5.44886589050293
1733261703.5244098,43,5.436164855957031
1733261919.46143,44,5.423299312591553
1733262137.8311708,45,5.410984039306641
1733262356.8227768,46,5.399345874786377
1733262577.888891,47,5.383935451507568
1733262795.9044187,48,5.373684883117676
1733263015.6816313,49,5.366253852844238
