,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,標準偏差,,継続的学習,継続的学習（非離散化）,ランダム初期化,ランダム初期化（非離散化）,,p = 0.05,,,,
,継続的学習,0.4040612107,,69.4699,67.13999,68.989999,68.0999,,t検定,継続的学習,継続的学習（非離散化）,ランダム初期化,ランダム初期化（非離散化）
,継続的学習（非離散化）,0.4871079947,,68.8599,68.62999931,68.309,68.32999,,継続的学習,1,0.00004069118135,0.002399677554,0.00000001076183433
,ランダム初期化,0.4559182796,,69.62,67.669999,68.7699993,67.58999,,継続的学習（非離散化）,,1,0.07554624819,0.03240308546
,ランダム初期化（非離散化）,0.2458761964,,68.849,68.429999,68.6499993,67.6799,,ランダム初期化,,,1,0.0001227852234
,,,,69.849,68.42999,68.5099,67.509999,,ランダム初期化（非離散化）,,,,1
,,,,69.3999,68.1699993,69.6599993,67.829999,,,,,,
,,,,69.089,68.4599,68.699999,67.87999932,,,,,,
,,,,69.0599,68.599999,68.19999,67.95999,,,,,,
,,,,70.01999,68.4099993,68.739999,67.96999932,,,,,,
,,,,69.1499,68.64999931,68.03999,67.7399,,,,,,
