エポック数,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度,検証精度
,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラム30-20,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,カリキュラムなし,固定セル,固定セル,固定セル,固定セル,固定セル,固定セル,カリキュラム30-30,カリキュラム30-30
エポック数,g=1(カリキュラム),g=0.1(カリキュラム),g=0.01(カリキュラム),g=0.001(カリキュラム),g=-0.001(カリキュラム),g=-0.01(カリキュラム),g=-0.1(カリキュラム),g=-1(カリキュラム),g=0(カリキュラム),g=1,g=0.1,g=0.01,g=0.001,g=-0.001,g=-0.01,g=-0.1,g=-1,11セル,20セル,32セル,20セル(離散化・リセット),20セル（アナログ・LRリセット）,20セル（アナログ・リセット）,g=1,g=0.001
1,0.08728799969,0.08431199789,0.08331199884,0.07796799988,0.08083999902,0.0840959996,0.08470400125,0.08174400032,0.08296799958,0.08472000062,0.08317599893,0.08232799917,0.08728000075,0.08259200007,0.08884799927,0.08519199938,0.080464001,0.1018559985,0.07496000007,0.04559599943,0.07361599915,0.06905999966,0.07429200038,0.0792960003,0.0832799986
2,0.1383519977,0.1380879983,0.1378479987,0.133792001,0.1324719995,0.1312240019,0.1364639997,0.1328400016,0.1377280012,0.1384799987,0.1291039988,0.1273999989,0.1368239999,0.1301359966,0.1390319973,0.1289920002,0.127383998,0.1558839992,0.1118319996,0.07564799935,0.1106079996,0.1096399993,0.1053440005,0.1296080008,0.1321520001
3,0.1787199974,0.177767995,0.1686479986,0.1712720007,0.1745039999,0.1715679973,0.172991997,0.1703999996,0.180399999,0.1818559974,0.1765520006,0.1773039997,0.1740159988,0.1737360001,0.1765599966,0.174871999,0.1564239979,0.2103999987,0.1486479998,0.1015039995,0.1439480007,0.1471359998,0.1471799999,0.1746159971,0.1679840028
4,0.2093919992,0.212695998,0.2058720022,0.2060719967,0.2131600022,0.2015680015,0.2084319979,0.2081279963,0.2170479983,0.2177839935,0.2127999991,0.2123679996,0.2068159968,0.2065120012,0.2061119974,0.2055119991,0.1978320003,0.2449560016,0.1771919981,0.1235759988,0.172484,0.1832079977,0.1660680011,0.2171600014,0.207167998
5,0.2428959966,0.2511519969,0.2456720024,0.2437119991,0.2425999939,0.2452800006,0.2410320044,0.2452959985,0.240448001,0.2558559954,0.2440399975,0.2459439993,0.2433599949,0.244216001,0.2420480013,0.2397919953,0.2311120003,0.2855760008,0.2104759991,0.1406640001,0.202415999,0.2105399996,0.2037279993,0.2491839975,0.2469679981
6,0.278143996,0.2793600023,0.2759759963,0.2783039987,0.2743360043,0.2722720027,0.2751919925,0.2707599998,0.2732159972,0.2819679916,0.2805599988,0.2733839929,0.2690479994,0.2681440055,0.2750240028,0.2688960016,0.2533200026,0.3104999959,0.2357879966,0.1633239999,0.2281760007,0.2394959986,0.230776,0.272615999,0.2723280013
7,0.2966959953,0.3048879921,0.3013119996,0.296239996,0.2989359975,0.3017199993,0.299752003,0.2976960003,0.3047919989,0.3075919986,0.3011039972,0.2998879969,0.2976559997,0.2965759993,0.3032400012,0.2960480034,0.2723919988,0.3338440001,0.2596999943,0.183348,0.2612679973,0.2642519981,0.2553039983,0.3016080022,0.299375999
8,0.3225599945,0.3267359972,0.3264319897,0.3263199985,0.3190639913,0.3220319986,0.3221999943,0.3151360035,0.3309680045,0.3339359939,0.327767992,0.3241999984,0.3251119971,0.3184320092,0.3247600019,0.3199200034,0.2903519988,0.3613959968,0.2832800001,0.2031319991,0.2783399969,0.2818599999,0.2752400011,0.3244719982,0.3231439948
9,0.3435840011,0.3321280003,0.3399600029,0.3407759905,0.3354559958,0.3356559992,0.3372399986,0.3413520038,0.3456480026,0.3530560017,0.3380319953,0.3436719954,0.3378400028,0.3415679932,0.3457839966,0.3266240001,0.3074320018,0.3761599958,0.3021000028,0.2172839999,0.2920599997,0.3004119992,0.2992880017,0.3393999934,0.3357199967
10,0.3536079943,0.3547439933,0.3593600035,0.3592400014,0.3596160054,0.3544479966,0.3609519958,0.3595999956,0.3601999938,0.3695760012,0.3598799944,0.3601679981,0.3540879965,0.3602319956,0.357663995,0.3439839959,0.3168559968,0.3907519996,0.3161639959,0.231095998,0.3162119985,0.3186120003,0.3148600072,0.3606399894,0.3606640041
11,0.3721199989,0.3720400035,0.3715999961,0.3787679911,0.3752640009,0.3741039991,0.3784800053,0.3788079977,0.3792400002,0.3811359942,0.3759999931,0.3758320034,0.3746880054,0.370231992,0.3734079957,0.3619599998,0.3307920039,0.4129679978,0.3338199973,0.2480599985,0.3304919928,0.328775999,0.3278120011,0.3775680006,0.3691839993
12,0.3876480043,0.3897919953,0.3874000013,0.3927039981,0.3885360003,0.3886239946,0.3920719922,0.3932799935,0.3924480021,0.4072640061,0.3923839986,0.3897119939,0.3894719958,0.3932559907,0.3831519961,0.3713279963,0.3487039983,0.4216279954,0.3535840005,0.2600520045,0.3436760008,0.3520799994,0.3469479978,0.3909920037,0.3911440015
13,0.4030879915,0.4009119987,0.4015999973,0.4028799951,0.3980319977,0.4011440039,0.4067759991,0.4001599967,0.4030559897,0.4111919999,0.4057679951,0.3969039977,0.3972960055,0.3991439939,0.3887840033,0.3858239949,0.3589439929,0.4299799949,0.3657920033,0.2746920019,0.3598199993,0.3673799932,0.3576799959,0.4010800004,0.3977919936
14,0.4116720021,0.4120239973,0.4126399934,0.4186080039,0.4094560027,0.4132879972,0.4171919882,0.4144560039,0.4141519964,0.4268320024,0.4195680022,0.4210959971,0.4101359963,0.410799998,0.411687994,0.4015359938,0.3636160076,0.4413040042,0.3770560026,0.289139998,0.3689279974,0.3775719941,0.3754519999,0.4168960035,0.4131359994
15,0.4200800002,0.4243519962,0.429023999,0.4264400005,0.422871995,0.4289040029,0.4260719955,0.4247279882,0.4282639921,0.4388399959,0.4236640036,0.4329679966,0.4247759879,0.4242559969,0.4178160071,0.4123919964,0.3793119967,0.4429159939,0.3875439942,0.2946159989,0.3843839973,0.3915319979,0.384236002,0.4276559949,0.4223280013
16,0.4291919947,0.429279995,0.4316160023,0.4371599972,0.4291120052,0.4359039962,0.430527997,0.4289359987,0.4323359966,0.438319999,0.435303998,0.4282960057,0.4314480007,0.428023994,0.4328079998,0.4188320041,0.3843999982,0.4554639965,0.3965439945,0.3120959997,0.3933279932,0.3975199968,0.3958479971,0.4291759908,0.4264640033
17,0.4397440076,0.4410960019,0.4418240011,0.4397759974,0.4361440003,0.4418719947,0.4390000045,0.4462159932,0.4460639954,0.4556639969,0.4425839961,0.4410960019,0.4395119965,0.4399199963,0.4437920034,0.4302079976,0.384175998,0.4595839947,0.4083519965,0.3250160009,0.4041960001,0.4119319975,0.4080679923,0.4431519985,0.440703994
18,0.4522800028,0.4555120051,0.4501439989,0.454535991,0.4488079965,0.4462719917,0.4512239993,0.4515680015,0.4535439909,0.4666319966,0.4519760072,0.4534399986,0.4455359995,0.4521840036,0.4490719974,0.4338400006,0.3950079978,0.4724759966,0.4189240009,0.3280039936,0.4101319999,0.4154439986,0.4213679999,0.4528639972,0.454023999
