06/27 02:09:34AM parser.py:28 [INFO] 
06/27 02:09:34AM parser.py:29 [INFO] Parameters:
06/27 02:09:34AM parser.py:31 [INFO] BATCH_SIZE=64
06/27 02:09:34AM parser.py:31 [INFO] CUTOUT_LENGTH=0
06/27 02:09:34AM parser.py:31 [INFO] DATA_PATH=../data/
06/27 02:09:34AM parser.py:31 [INFO] DATASET=cifar10
06/27 02:09:34AM parser.py:31 [INFO] EPOCHS=100
06/27 02:09:34AM parser.py:31 [INFO] EXP_NAME=E100-20240627-020934
06/27 02:09:34AM parser.py:31 [INFO] GPUS=[0]
06/27 02:09:34AM parser.py:31 [INFO] LOCAL_RANK=0
06/27 02:09:34AM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
06/27 02:09:34AM parser.py:31 [INFO] MODEL_NAME=resnet152
06/27 02:09:34AM parser.py:31 [INFO] NAME=FINETUNE
06/27 02:09:34AM parser.py:31 [INFO] PATH=results/teacher/cifar10/resnet152/FINETUNE/E100-20240627-020934
06/27 02:09:34AM parser.py:31 [INFO] PLOT_PATH=results/teacher/cifar10/resnet152/FINETUNE/E100-20240627-020934/plots
06/27 02:09:34AM parser.py:31 [INFO] PRINT_FREQ=50
06/27 02:09:34AM parser.py:31 [INFO] RESUME_PATH=None
06/27 02:09:34AM parser.py:31 [INFO] SAVE=E100
06/27 02:09:34AM parser.py:31 [INFO] SEED=0
06/27 02:09:34AM parser.py:31 [INFO] TRAIN_PORTION=1.0
06/27 02:09:34AM parser.py:31 [INFO] W_GRAD_CLIP=5.0
06/27 02:09:34AM parser.py:31 [INFO] W_LR=0.025
06/27 02:09:34AM parser.py:31 [INFO] W_LR_MIN=0.001
06/27 02:09:34AM parser.py:31 [INFO] W_MOMENTUM=0.9
06/27 02:09:34AM parser.py:31 [INFO] W_WEIGHT_DECAY=0.0003
06/27 02:09:34AM parser.py:31 [INFO] WORKERS=4
06/27 02:09:34AM parser.py:32 [INFO] 
06/27 02:09:41AM finetuneTeacher_trainer.py:109 [INFO] --> No loaded checkpoint!
06/27 02:09:48AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][50/781]	Step 50	lr 0.025	Loss 1.4230 (1.8598)	Prec@(1,5) (35.3%, 80.3%)	
06/27 02:09:52AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][100/781]	Step 100	lr 0.025	Loss 1.4305 (1.7776)	Prec@(1,5) (41.5%, 86.0%)	
06/27 02:09:56AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][150/781]	Step 150	lr 0.025	Loss 1.6591 (1.6620)	Prec@(1,5) (46.1%, 88.3%)	
06/27 02:10:00AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][200/781]	Step 200	lr 0.025	Loss 1.1939 (1.5748)	Prec@(1,5) (48.6%, 89.9%)	
06/27 02:10:04AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][250/781]	Step 250	lr 0.025	Loss 1.1122 (1.5080)	Prec@(1,5) (50.4%, 90.9%)	
06/27 02:10:08AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][300/781]	Step 300	lr 0.025	Loss 1.2024 (1.4491)	Prec@(1,5) (52.2%, 91.6%)	
06/27 02:10:12AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][350/781]	Step 350	lr 0.025	Loss 1.0700 (1.4054)	Prec@(1,5) (53.5%, 92.2%)	
06/27 02:10:16AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][400/781]	Step 400	lr 0.025	Loss 0.8994 (1.3760)	Prec@(1,5) (54.2%, 92.6%)	
06/27 02:10:20AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][450/781]	Step 450	lr 0.025	Loss 1.0079 (1.3402)	Prec@(1,5) (55.2%, 93.0%)	
06/27 02:10:24AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][500/781]	Step 500	lr 0.025	Loss 0.9630 (1.3098)	Prec@(1,5) (56.2%, 93.4%)	
06/27 02:10:28AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][550/781]	Step 550	lr 0.025	Loss 1.1800 (1.2824)	Prec@(1,5) (57.1%, 93.7%)	
06/27 02:10:32AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][600/781]	Step 600	lr 0.025	Loss 0.8238 (1.2559)	Prec@(1,5) (57.9%, 94.0%)	
06/27 02:10:36AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][650/781]	Step 650	lr 0.025	Loss 0.6740 (1.2330)	Prec@(1,5) (58.6%, 94.2%)	
06/27 02:10:40AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][700/781]	Step 700	lr 0.025	Loss 1.0065 (1.2108)	Prec@(1,5) (59.3%, 94.4%)	
06/27 02:10:44AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][750/781]	Step 750	lr 0.025	Loss 1.1001 (1.1969)	Prec@(1,5) (59.8%, 94.5%)	
06/27 02:10:46AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][781/781]	Step 781	lr 0.025	Loss 0.8519 (1.1880)	Prec@(1,5) (60.0%, 94.6%)	
06/27 02:10:48AM finetuneTeacher_trainer.py:181 [INFO] Train: [  0/99] Final Prec@1 60.0440%
06/27 02:10:49AM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][50/391]	Step 782	Loss 0.9434	Prec@(1,5) (68.7%, 97.7%)
06/27 02:10:51AM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][100/391]	Step 782	Loss 0.9358	Prec@(1,5) (68.3%, 97.6%)
06/27 02:10:52AM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][150/391]	Step 782	Loss 0.9347	Prec@(1,5) (68.9%, 97.6%)
06/27 02:10:53AM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][200/391]	Step 782	Loss 0.9299	Prec@(1,5) (69.2%, 97.6%)
06/27 02:10:54AM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][250/391]	Step 782	Loss 0.9278	Prec@(1,5) (69.3%, 97.7%)
06/27 02:10:55AM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][300/391]	Step 782	Loss 0.9320	Prec@(1,5) (69.4%, 97.6%)
06/27 02:10:57AM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][350/391]	Step 782	Loss 0.9350	Prec@(1,5) (69.5%, 97.5%)
06/27 02:10:58AM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][390/391]	Step 782	Loss 0.9357	Prec@(1,5) (69.5%, 97.5%)
06/27 02:10:58AM finetuneTeacher_trainer.py:216 [INFO] Valid: [  0/99] Final Prec@1 69.4640%
06/27 02:10:59午前 finetuneTeacher_main.py:54 [INFO] Until now, best Prec@1 = 69.4640%
06/27 02:11:03午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][50/781]	Step 832	lr 0.02499	Loss 0.8745 (0.9069)	Prec@(1,5) (68.7%, 97.0%)	
06/27 02:11:07午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][100/781]	Step 882	lr 0.02499	Loss 0.7299 (0.8918)	Prec@(1,5) (69.0%, 97.3%)	
06/27 02:11:11午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][150/781]	Step 932	lr 0.02499	Loss 1.2877 (0.8990)	Prec@(1,5) (69.1%, 97.4%)	
06/27 02:11:15午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][200/781]	Step 982	lr 0.02499	Loss 0.6983 (0.9014)	Prec@(1,5) (69.0%, 97.4%)	
06/27 02:11:19午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][250/781]	Step 1032	lr 0.02499	Loss 0.9493 (0.8944)	Prec@(1,5) (69.5%, 97.4%)	
06/27 02:11:23午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][300/781]	Step 1082	lr 0.02499	Loss 0.8368 (0.8882)	Prec@(1,5) (69.5%, 97.5%)	
06/27 02:11:27午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][350/781]	Step 1132	lr 0.02499	Loss 0.8294 (0.8830)	Prec@(1,5) (69.7%, 97.6%)	
06/27 02:11:31午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][400/781]	Step 1182	lr 0.02499	Loss 0.5822 (0.8790)	Prec@(1,5) (69.9%, 97.6%)	
06/27 02:11:35午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][450/781]	Step 1232	lr 0.02499	Loss 0.9215 (0.8771)	Prec@(1,5) (69.9%, 97.6%)	
06/27 02:11:39午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][500/781]	Step 1282	lr 0.02499	Loss 0.7686 (0.8798)	Prec@(1,5) (69.8%, 97.6%)	
06/27 02:11:43午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][550/781]	Step 1332	lr 0.02499	Loss 0.8682 (0.8780)	Prec@(1,5) (69.9%, 97.6%)	
06/27 02:11:47午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][600/781]	Step 1382	lr 0.02499	Loss 0.6309 (0.8742)	Prec@(1,5) (70.0%, 97.6%)	
06/27 02:11:51午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][650/781]	Step 1432	lr 0.02499	Loss 0.8291 (0.8738)	Prec@(1,5) (70.1%, 97.6%)	
06/27 02:11:54午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][700/781]	Step 1482	lr 0.02499	Loss 0.7671 (0.8690)	Prec@(1,5) (70.3%, 97.6%)	
06/27 02:11:58午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][750/781]	Step 1532	lr 0.02499	Loss 0.7950 (0.8681)	Prec@(1,5) (70.3%, 97.6%)	
06/27 02:12:01午前 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][781/781]	Step 1563	lr 0.02499	Loss 0.8741 (0.8648)	Prec@(1,5) (70.5%, 97.7%)	
06/27 02:12:01午前 finetuneTeacher_trainer.py:181 [INFO] Train: [  1/99] Final Prec@1 70.4540%
06/27 02:12:02午前 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [1][50/391]	Step 1564	Loss 0.8600	Prec@(1,5) (71.8%, 98.2%)
06/27 02:12:03午前 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [1][100/391]	Step 1564	Loss 0.8628	Prec@(1,5) (71.8%, 98.2%)
06/27 02:12:05午前 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [1][150/391]	Step 1564	Loss 0.8841	Prec@(1,5) (71.3%, 98.2%)
06/27 02:12:06午前 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [1][200/391]	Step 1564	Loss 0.8799	Prec@(1,5) (71.4%, 98.1%)
