06/26 10:32:14PM parser.py:28 [INFO] 
06/26 10:32:14PM parser.py:29 [INFO] Parameters:
06/26 10:32:14PM parser.py:31 [INFO] BATCH_SIZE=64
06/26 10:32:14PM parser.py:31 [INFO] CUTOUT_LENGTH=0
06/26 10:32:14PM parser.py:31 [INFO] DATA_PATH=../data/
06/26 10:32:14PM parser.py:31 [INFO] DATASET=cifar10
06/26 10:32:14PM parser.py:31 [INFO] EPOCHS=50
06/26 10:32:14PM parser.py:31 [INFO] EXP_NAME=E50-20240626-223214
06/26 10:32:14PM parser.py:31 [INFO] GPUS=[0]
06/26 10:32:14PM parser.py:31 [INFO] LOCAL_RANK=0
06/26 10:32:14PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
06/26 10:32:14PM parser.py:31 [INFO] MODEL_NAME=resnet50
06/26 10:32:14PM parser.py:31 [INFO] NAME=FINETUNE
06/26 10:32:14PM parser.py:31 [INFO] PATH=results/teacher/cifar10/resnet50/FINETUNE/E50-20240626-223214
06/26 10:32:14PM parser.py:31 [INFO] PLOT_PATH=results/teacher/cifar10/resnet50/FINETUNE/E50-20240626-223214/plots
06/26 10:32:14PM parser.py:31 [INFO] PRINT_FREQ=50
06/26 10:32:14PM parser.py:31 [INFO] RESUME_PATH=None
06/26 10:32:14PM parser.py:31 [INFO] SAVE=E50
06/26 10:32:14PM parser.py:31 [INFO] SEED=0
06/26 10:32:14PM parser.py:31 [INFO] TRAIN_PORTION=1.0
06/26 10:32:14PM parser.py:31 [INFO] W_GRAD_CLIP=5.0
06/26 10:32:14PM parser.py:31 [INFO] W_LR=0.025
06/26 10:32:14PM parser.py:31 [INFO] W_LR_MIN=0.001
06/26 10:32:14PM parser.py:31 [INFO] W_MOMENTUM=0.9
06/26 10:32:14PM parser.py:31 [INFO] W_WEIGHT_DECAY=0.0003
06/26 10:32:14PM parser.py:31 [INFO] WORKERS=4
06/26 10:32:14PM parser.py:32 [INFO] 
06/26 10:32:19PM finetuneTeacher_trainer.py:109 [INFO] --> No loaded checkpoint!
06/26 10:32:26PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][50/781]	Step 50	lr 0.025	Loss 1.6124 (1.9660)	Prec@(1,5) (30.7%, 75.9%)	
06/26 10:32:27PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][100/781]	Step 100	lr 0.025	Loss 1.2320 (1.7156)	Prec@(1,5) (40.8%, 84.2%)	
06/26 10:32:29PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][150/781]	Step 150	lr 0.025	Loss 1.3300 (1.6297)	Prec@(1,5) (44.4%, 87.1%)	
06/26 10:32:30PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][200/781]	Step 200	lr 0.025	Loss 1.5538 (1.5904)	Prec@(1,5) (46.1%, 88.5%)	
06/26 10:32:32PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][250/781]	Step 250	lr 0.025	Loss 1.8499 (1.5656)	Prec@(1,5) (47.7%, 89.5%)	
06/26 10:32:34PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][300/781]	Step 300	lr 0.025	Loss 1.2317 (1.5442)	Prec@(1,5) (48.3%, 90.1%)	
06/26 10:32:36PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][350/781]	Step 350	lr 0.025	Loss 1.2074 (1.5190)	Prec@(1,5) (49.3%, 90.5%)	
06/26 10:32:37PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][400/781]	Step 400	lr 0.025	Loss 1.3583 (1.5031)	Prec@(1,5) (50.1%, 90.8%)	
06/26 10:32:39PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][450/781]	Step 450	lr 0.025	Loss 1.9242 (1.4875)	Prec@(1,5) (50.7%, 91.1%)	
06/26 10:32:41PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][500/781]	Step 500	lr 0.025	Loss 1.0375 (1.4639)	Prec@(1,5) (51.5%, 91.5%)	
06/26 10:32:42PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][550/781]	Step 550	lr 0.025	Loss 1.2750 (1.4400)	Prec@(1,5) (52.3%, 91.7%)	
06/26 10:32:43PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][600/781]	Step 600	lr 0.025	Loss 1.3259 (1.4194)	Prec@(1,5) (53.1%, 92.1%)	
