06/27 01:14:54AM parser.py:28 [INFO] 
06/27 01:14:54AM parser.py:29 [INFO] Parameters:
06/27 01:14:54AM parser.py:31 [INFO] BATCH_SIZE=64
06/27 01:14:54AM parser.py:31 [INFO] CUTOUT_LENGTH=0
06/27 01:14:54AM parser.py:31 [INFO] DATA_PATH=../data/
06/27 01:14:54AM parser.py:31 [INFO] DATASET=cifar10
06/27 01:14:54AM parser.py:31 [INFO] EPOCHS=100
06/27 01:14:54AM parser.py:31 [INFO] EXP_NAME=E100-20240627-011454
06/27 01:14:54AM parser.py:31 [INFO] GPUS=[0]
06/27 01:14:54AM parser.py:31 [INFO] LOCAL_RANK=0
06/27 01:14:54AM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
06/27 01:14:54AM parser.py:31 [INFO] MODEL_NAME=tf_efficientnetv2_m
06/27 01:14:54AM parser.py:31 [INFO] NAME=FINETUNE
06/27 01:14:54AM parser.py:31 [INFO] PATH=results/teacher/cifar10/tf_efficientnetv2_m/FINETUNE/E100-20240627-011454
06/27 01:14:54AM parser.py:31 [INFO] PLOT_PATH=results/teacher/cifar10/tf_efficientnetv2_m/FINETUNE/E100-20240627-011454/plots
06/27 01:14:54AM parser.py:31 [INFO] PRINT_FREQ=50
06/27 01:14:54AM parser.py:31 [INFO] RESUME_PATH=None
06/27 01:14:54AM parser.py:31 [INFO] SAVE=E100
06/27 01:14:54AM parser.py:31 [INFO] SEED=0
06/27 01:14:54AM parser.py:31 [INFO] TRAIN_PORTION=1.0
06/27 01:14:54AM parser.py:31 [INFO] W_GRAD_CLIP=5.0
06/27 01:14:54AM parser.py:31 [INFO] W_LR=0.025
06/27 01:14:54AM parser.py:31 [INFO] W_LR_MIN=0.001
06/27 01:14:54AM parser.py:31 [INFO] W_MOMENTUM=0.9
06/27 01:14:54AM parser.py:31 [INFO] W_WEIGHT_DECAY=0.0003
06/27 01:14:54AM parser.py:31 [INFO] WORKERS=4
06/27 01:14:54AM parser.py:32 [INFO] 
06/27 01:15:10AM finetuneTeacher_trainer.py:109 [INFO] --> No loaded checkpoint!
06/27 01:15:17AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][50/781]	Step 50	lr 0.025	Loss 2.3902 (6.4325)	Prec@(1,5) (17.2%, 61.8%)	
06/27 01:15:22AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][100/781]	Step 100	lr 0.025	Loss 1.5724 (4.0983)	Prec@(1,5) (28.0%, 73.0%)	
06/27 01:15:27AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][150/781]	Step 150	lr 0.025	Loss 1.2050 (3.1908)	Prec@(1,5) (36.4%, 79.5%)	
06/27 01:15:31AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][200/781]	Step 200	lr 0.025	Loss 1.1997 (2.7044)	Prec@(1,5) (41.9%, 83.3%)	
06/27 01:15:36AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][250/781]	Step 250	lr 0.025	Loss 1.0877 (2.3994)	Prec@(1,5) (45.7%, 85.7%)	
06/27 01:15:41AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][300/781]	Step 300	lr 0.025	Loss 1.1103 (2.1704)	Prec@(1,5) (49.1%, 87.4%)	
06/27 01:15:45AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][350/781]	Step 350	lr 0.025	Loss 0.7517 (1.9947)	Prec@(1,5) (51.8%, 88.8%)	
06/27 01:15:50AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][400/781]	Step 400	lr 0.025	Loss 1.0423 (1.8550)	Prec@(1,5) (54.2%, 89.9%)	
06/27 01:15:54AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][450/781]	Step 450	lr 0.025	Loss 0.8391 (1.7479)	Prec@(1,5) (56.0%, 90.8%)	
06/27 01:15:59AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][500/781]	Step 500	lr 0.025	Loss 1.0036 (1.6529)	Prec@(1,5) (57.7%, 91.5%)	
06/27 01:16:04AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][550/781]	Step 550	lr 0.025	Loss 1.1572 (1.5791)	Prec@(1,5) (59.0%, 92.0%)	
06/27 01:16:08AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][600/781]	Step 600	lr 0.025	Loss 0.6484 (1.5105)	Prec@(1,5) (60.3%, 92.5%)	
06/27 01:16:13AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][650/781]	Step 650	lr 0.025	Loss 0.7395 (1.4523)	Prec@(1,5) (61.5%, 93.0%)	
06/27 01:16:18AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][700/781]	Step 700	lr 0.025	Loss 0.5373 (1.4025)	Prec@(1,5) (62.4%, 93.4%)	
06/27 01:16:22AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][750/781]	Step 750	lr 0.025	Loss 0.7601 (1.3551)	Prec@(1,5) (63.3%, 93.7%)	
06/27 01:16:25AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][781/781]	Step 781	lr 0.025	Loss 0.5713 (1.3296)	Prec@(1,5) (63.9%, 93.9%)	
06/27 01:16:27AM finetuneTeacher_trainer.py:181 [INFO] Train: [  0/99] Final Prec@1 63.8540%
06/27 01:16:29AM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][50/391]	Step 782	Loss 0.5774	Prec@(1,5) (80.5%, 99.1%)
