06/26 10:00:53PM parser.py:28 [INFO] 
06/26 10:00:53PM parser.py:29 [INFO] Parameters:
06/26 10:00:53PM parser.py:31 [INFO] BATCH_SIZE=64
06/26 10:00:53PM parser.py:31 [INFO] CUTOUT_LENGTH=0
06/26 10:00:53PM parser.py:31 [INFO] DATA_PATH=../data/
06/26 10:00:53PM parser.py:31 [INFO] DATASET=cifar10
06/26 10:00:53PM parser.py:31 [INFO] EPOCHS=50
06/26 10:00:53PM parser.py:31 [INFO] EXP_NAME=E50-20240626-220053
06/26 10:00:53PM parser.py:31 [INFO] GPUS=[0]
06/26 10:00:53PM parser.py:31 [INFO] LOCAL_RANK=0
06/26 10:00:53PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
06/26 10:00:53PM parser.py:31 [INFO] MODEL_NAME=tf_efficientnetv2_m
06/26 10:00:53PM parser.py:31 [INFO] NAME=FINETUNE
06/26 10:00:53PM parser.py:31 [INFO] PATH=results/teacher/cifar10/tf_efficientnetv2_m/FINETUNE/E50-20240626-220053
06/26 10:00:53PM parser.py:31 [INFO] PLOT_PATH=results/teacher/cifar10/tf_efficientnetv2_m/FINETUNE/E50-20240626-220053/plots
06/26 10:00:53PM parser.py:31 [INFO] PRINT_FREQ=50
06/26 10:00:53PM parser.py:31 [INFO] RESUME_PATH=None
06/26 10:00:53PM parser.py:31 [INFO] SAVE=E50
06/26 10:00:53PM parser.py:31 [INFO] SEED=0
06/26 10:00:53PM parser.py:31 [INFO] TRAIN_PORTION=1.0
06/26 10:00:53PM parser.py:31 [INFO] W_GRAD_CLIP=5.0
06/26 10:00:53PM parser.py:31 [INFO] W_LR=0.025
06/26 10:00:53PM parser.py:31 [INFO] W_LR_MIN=0.001
06/26 10:00:53PM parser.py:31 [INFO] W_MOMENTUM=0.9
06/26 10:00:53PM parser.py:31 [INFO] W_WEIGHT_DECAY=0.0003
06/26 10:00:53PM parser.py:31 [INFO] WORKERS=4
06/26 10:00:53PM parser.py:32 [INFO] 
06/26 10:01:04PM finetuneTeacher_trainer.py:109 [INFO] --> No loaded checkpoint!
06/26 10:01:13PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][50/781]	Step 50	lr 0.025	Loss 1.8559 (2.8804)	Prec@(1,5) (18.4%, 62.8%)	
06/26 10:01:19PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][100/781]	Step 100	lr 0.025	Loss 1.4723 (2.2744)	Prec@(1,5) (29.1%, 75.6%)	
06/26 10:01:24PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][150/781]	Step 150	lr 0.025	Loss 1.1962 (1.9848)	Prec@(1,5) (36.3%, 81.3%)	
06/26 10:01:29PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][200/781]	Step 200	lr 0.025	Loss 1.2466 (1.8103)	Prec@(1,5) (40.8%, 84.5%)	
06/26 10:01:35PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][250/781]	Step 250	lr 0.025	Loss 1.0128 (1.6810)	Prec@(1,5) (44.4%, 86.6%)	
06/26 10:01:40PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][300/781]	Step 300	lr 0.025	Loss 1.1830 (1.5831)	Prec@(1,5) (47.6%, 88.0%)	
06/26 10:01:46PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][350/781]	Step 350	lr 0.025	Loss 0.8149 (1.5031)	Prec@(1,5) (50.1%, 89.1%)	
06/26 10:01:51PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][400/781]	Step 400	lr 0.025	Loss 1.0434 (1.4351)	Prec@(1,5) (52.3%, 90.1%)	
06/26 10:01:56PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][450/781]	Step 450	lr 0.025	Loss 1.0194 (1.3866)	Prec@(1,5) (54.0%, 90.8%)	
06/26 10:02:01PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][500/781]	Step 500	lr 0.025	Loss 0.9645 (1.3378)	Prec@(1,5) (55.5%, 91.5%)	
06/26 10:02:06PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][550/781]	Step 550	lr 0.025	Loss 1.1343 (1.3036)	Prec@(1,5) (56.6%, 91.9%)	
06/26 10:02:12PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][600/781]	Step 600	lr 0.025	Loss 0.8827 (1.2693)	Prec@(1,5) (57.7%, 92.4%)	
06/26 10:02:17PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][650/781]	Step 650	lr 0.025	Loss 0.9153 (1.2369)	Prec@(1,5) (58.7%, 92.8%)	
06/26 10:02:22PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][700/781]	Step 700	lr 0.025	Loss 0.9777 (1.2132)	Prec@(1,5) (59.6%, 93.1%)	
06/26 10:02:27PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][750/781]	Step 750	lr 0.025	Loss 0.8899 (1.1855)	Prec@(1,5) (60.4%, 93.4%)	
06/26 10:02:30PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][781/781]	Step 781	lr 0.025	Loss 0.4882 (1.1700)	Prec@(1,5) (60.9%, 93.6%)	
06/26 10:02:33PM finetuneTeacher_trainer.py:181 [INFO] Train: [  0/49] Final Prec@1 60.9180%
06/26 10:02:36PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][50/391]	Step 782	Loss 0.6667	Prec@(1,5) (77.4%, 98.7%)
06/26 10:02:37PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][100/391]	Step 782	Loss 0.6805	Prec@(1,5) (76.8%, 98.8%)
06/26 10:02:39PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][150/391]	Step 782	Loss 0.6776	Prec@(1,5) (77.3%, 98.9%)
06/26 10:02:41PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][200/391]	Step 782	Loss 0.6749	Prec@(1,5) (77.5%, 98.8%)
06/26 10:02:43PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][250/391]	Step 782	Loss 0.6803	Prec@(1,5) (77.5%, 98.7%)
06/26 10:02:45PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][300/391]	Step 782	Loss 0.6825	Prec@(1,5) (77.3%, 98.7%)
06/26 10:02:47PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][350/391]	Step 782	Loss 0.6831	Prec@(1,5) (77.2%, 98.6%)
06/26 10:02:48PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][390/391]	Step 782	Loss 0.6829	Prec@(1,5) (77.1%, 98.6%)
06/26 10:02:49PM finetuneTeacher_trainer.py:216 [INFO] Valid: [  0/49] Final Prec@1 77.1480%
06/26 10:02:50午後 finetuneTeacher_main.py:54 [INFO] Until now, best Prec@1 = 77.1480%
06/26 10:02:56午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][50/781]	Step 832	lr 0.02498	Loss 0.5145 (0.7453)	Prec@(1,5) (75.5%, 98.5%)	
06/26 10:03:01午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][100/781]	Step 882	lr 0.02498	Loss 0.9594 (0.7287)	Prec@(1,5) (75.9%, 98.3%)	
06/26 10:03:07午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][150/781]	Step 932	lr 0.02498	Loss 0.8165 (0.7539)	Prec@(1,5) (75.0%, 98.0%)	
06/26 10:03:12午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][200/781]	Step 982	lr 0.02498	Loss 0.6997 (0.7509)	Prec@(1,5) (75.3%, 97.9%)	
06/26 10:03:17午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][250/781]	Step 1032	lr 0.02498	Loss 0.7618 (0.7521)	Prec@(1,5) (75.1%, 97.7%)	
06/26 10:03:22午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][300/781]	Step 1082	lr 0.02498	Loss 0.7362 (0.7522)	Prec@(1,5) (75.2%, 97.8%)	
06/26 10:03:28午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][350/781]	Step 1132	lr 0.02498	Loss 0.4580 (0.7429)	Prec@(1,5) (75.5%, 97.9%)	
