06/26 03:29:03PM parser.py:28 [INFO] 
06/26 03:29:03PM parser.py:29 [INFO] Parameters:
06/26 03:29:03PM parser.py:31 [INFO] BATCH_SIZE=64
06/26 03:29:03PM parser.py:31 [INFO] CUTOUT_LENGTH=0
06/26 03:29:03PM parser.py:31 [INFO] DATA_PATH=../data/
06/26 03:29:03PM parser.py:31 [INFO] DATASET=cifar10
06/26 03:29:03PM parser.py:31 [INFO] EPOCHS=25
06/26 03:29:03PM parser.py:31 [INFO] EXP_NAME=E25-20240626-152903
06/26 03:29:03PM parser.py:31 [INFO] GPUS=[0]
06/26 03:29:03PM parser.py:31 [INFO] LOCAL_RANK=0
06/26 03:29:03PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
06/26 03:29:03PM parser.py:31 [INFO] MODEL_NAME=tf_efficientnetv2_s
06/26 03:29:03PM parser.py:31 [INFO] NAME=FINETUNE
06/26 03:29:03PM parser.py:31 [INFO] PATH=results/teacher/cifar10/tf_efficientnetv2_s/FINETUNE/E25-20240626-152903
06/26 03:29:03PM parser.py:31 [INFO] PLOT_PATH=results/teacher/cifar10/tf_efficientnetv2_s/FINETUNE/E25-20240626-152903/plots
06/26 03:29:03PM parser.py:31 [INFO] PRINT_FREQ=50
06/26 03:29:03PM parser.py:31 [INFO] RESUME_PATH=None
06/26 03:29:03PM parser.py:31 [INFO] SAVE=E25
06/26 03:29:03PM parser.py:31 [INFO] SEED=0
06/26 03:29:03PM parser.py:31 [INFO] TRAIN_PORTION=1.0
06/26 03:29:03PM parser.py:31 [INFO] W_GRAD_CLIP=5.0
06/26 03:29:03PM parser.py:31 [INFO] W_LR=0.025
06/26 03:29:03PM parser.py:31 [INFO] W_LR_MIN=0.001
06/26 03:29:03PM parser.py:31 [INFO] W_MOMENTUM=0.9
06/26 03:29:03PM parser.py:31 [INFO] W_WEIGHT_DECAY=0.0003
06/26 03:29:03PM parser.py:31 [INFO] WORKERS=4
06/26 03:29:03PM parser.py:32 [INFO] 
06/26 03:29:09PM finetuneTeacher_trainer.py:109 [INFO] --> No loaded checkpoint!
06/26 03:29:14PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][50/781]	Step 50	lr 0.025	Loss 1.9618 (3.8966)	Prec@(1,5) (16.8%, 60.2%)	
06/26 03:29:17PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][100/781]	Step 100	lr 0.025	Loss 1.6316 (2.8738)	Prec@(1,5) (25.8%, 71.1%)	
06/26 03:29:20PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][150/781]	Step 150	lr 0.025	Loss 1.5153 (2.4098)	Prec@(1,5) (33.2%, 77.9%)	
06/26 03:29:23PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][200/781]	Step 200	lr 0.025	Loss 1.2559 (2.1324)	Prec@(1,5) (38.5%, 81.8%)	
06/26 03:29:26PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][250/781]	Step 250	lr 0.025	Loss 1.2955 (1.9453)	Prec@(1,5) (42.5%, 84.5%)	
06/26 03:29:30PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][300/781]	Step 300	lr 0.025	Loss 1.2228 (1.8035)	Prec@(1,5) (45.7%, 86.4%)	
06/26 03:29:32PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][350/781]	Step 350	lr 0.025	Loss 0.9251 (1.6973)	Prec@(1,5) (48.0%, 87.8%)	
06/26 03:29:35PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][400/781]	Step 400	lr 0.025	Loss 0.9245 (1.6066)	Prec@(1,5) (50.3%, 88.9%)	
06/26 03:29:38PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][450/781]	Step 450	lr 0.025	Loss 1.2866 (1.5247)	Prec@(1,5) (52.6%, 89.8%)	
06/26 03:29:40PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][500/781]	Step 500	lr 0.025	Loss 1.1109 (1.4610)	Prec@(1,5) (54.3%, 90.6%)	
06/26 03:29:43PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][550/781]	Step 550	lr 0.025	Loss 0.9104 (1.4047)	Prec@(1,5) (55.8%, 91.2%)	
06/26 03:29:46PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][600/781]	Step 600	lr 0.025	Loss 0.9936 (1.3623)	Prec@(1,5) (56.9%, 91.7%)	
06/26 03:29:48PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][650/781]	Step 650	lr 0.025	Loss 0.9980 (1.3282)	Prec@(1,5) (57.8%, 92.1%)	
06/26 03:29:51PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][700/781]	Step 700	lr 0.025	Loss 0.7502 (1.2946)	Prec@(1,5) (58.7%, 92.5%)	
06/26 03:29:54PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][750/781]	Step 750	lr 0.025	Loss 0.9120 (1.2658)	Prec@(1,5) (59.5%, 92.8%)	
06/26 03:29:55PM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][781/781]	Step 781	lr 0.025	Loss 0.6619 (1.2457)	Prec@(1,5) (60.0%, 93.0%)	
06/26 03:29:56PM finetuneTeacher_trainer.py:181 [INFO] Train: [  0/24] Final Prec@1 60.0400%
06/26 03:29:57PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][50/391]	Step 782	Loss 0.7382	Prec@(1,5) (74.3%, 98.4%)
06/26 03:29:58PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][100/391]	Step 782	Loss 0.7373	Prec@(1,5) (74.5%, 98.4%)
06/26 03:29:59PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][150/391]	Step 782	Loss 0.7318	Prec@(1,5) (74.4%, 98.6%)
06/26 03:30:00PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][200/391]	Step 782	Loss 0.7289	Prec@(1,5) (74.5%, 98.6%)
06/26 03:30:00PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][250/391]	Step 782	Loss 0.7364	Prec@(1,5) (74.3%, 98.6%)
06/26 03:30:01PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][300/391]	Step 782	Loss 0.7423	Prec@(1,5) (74.2%, 98.6%)
06/26 03:30:02PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][350/391]	Step 782	Loss 0.7424	Prec@(1,5) (74.1%, 98.6%)
06/26 03:30:03PM finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [0][390/391]	Step 782	Loss 0.7427	Prec@(1,5) (74.1%, 98.5%)
06/26 03:30:03PM finetuneTeacher_trainer.py:216 [INFO] Valid: [  0/24] Final Prec@1 74.0840%
06/26 03:30:04午後 finetuneTeacher_main.py:54 [INFO] Until now, best Prec@1 = 74.0840%
06/26 03:30:08午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][50/781]	Step 832	lr 0.02491	Loss 0.7782 (0.8015)	Prec@(1,5) (72.5%, 98.3%)	
06/26 03:30:12午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][100/781]	Step 882	lr 0.02491	Loss 0.8945 (0.7823)	Prec@(1,5) (72.8%, 98.5%)	
06/26 03:30:15午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][150/781]	Step 932	lr 0.02491	Loss 0.7849 (0.7791)	Prec@(1,5) (73.3%, 98.3%)	
06/26 03:30:19午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][200/781]	Step 982	lr 0.02491	Loss 0.7480 (0.7747)	Prec@(1,5) (73.5%, 98.2%)	
06/26 03:30:22午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][250/781]	Step 1032	lr 0.02491	Loss 0.8357 (0.7761)	Prec@(1,5) (73.3%, 98.2%)	
06/26 03:30:26午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][300/781]	Step 1082	lr 0.02491	Loss 0.6770 (0.7696)	Prec@(1,5) (73.6%, 98.2%)	
06/26 03:30:29午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][350/781]	Step 1132	lr 0.02491	Loss 0.7600 (0.7634)	Prec@(1,5) (73.7%, 98.2%)	
06/26 03:30:33午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][400/781]	Step 1182	lr 0.02491	Loss 0.8069 (0.7610)	Prec@(1,5) (73.8%, 98.2%)	
06/26 03:30:36午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][450/781]	Step 1232	lr 0.02491	Loss 0.7070 (0.7616)	Prec@(1,5) (73.7%, 98.2%)	
06/26 03:30:39午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][500/781]	Step 1282	lr 0.02491	Loss 0.6571 (0.7577)	Prec@(1,5) (73.8%, 98.2%)	
06/26 03:30:42午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][550/781]	Step 1332	lr 0.02491	Loss 0.8088 (0.7569)	Prec@(1,5) (73.8%, 98.2%)	
06/26 03:30:46午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][600/781]	Step 1382	lr 0.02491	Loss 0.4975 (0.7568)	Prec@(1,5) (73.8%, 98.1%)	
06/26 03:30:49午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][650/781]	Step 1432	lr 0.02491	Loss 0.7449 (0.7572)	Prec@(1,5) (73.8%, 98.1%)	
06/26 03:30:53午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][700/781]	Step 1482	lr 0.02491	Loss 0.5518 (0.7516)	Prec@(1,5) (74.0%, 98.2%)	
06/26 03:30:56午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][750/781]	Step 1532	lr 0.02491	Loss 0.5691 (0.7482)	Prec@(1,5) (74.2%, 98.2%)	
06/26 03:30:58午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [1][781/781]	Step 1563	lr 0.02491	Loss 0.4899 (0.7443)	Prec@(1,5) (74.4%, 98.2%)	
06/26 03:30:59午後 finetuneTeacher_trainer.py:181 [INFO] Train: [  1/24] Final Prec@1 74.3560%
06/26 03:31:00午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [1][50/391]	Step 1564	Loss 0.5677	Prec@(1,5) (80.7%, 99.1%)
06/26 03:31:00午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [1][100/391]	Step 1564	Loss 0.5610	Prec@(1,5) (80.7%, 99.2%)
06/26 03:31:01午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [1][150/391]	Step 1564	Loss 0.5693	Prec@(1,5) (80.3%, 99.2%)
06/26 03:31:02午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [1][200/391]	Step 1564	Loss 0.5710	Prec@(1,5) (80.2%, 99.1%)
06/26 03:31:03午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [1][250/391]	Step 1564	Loss 0.5671	Prec@(1,5) (80.3%, 99.1%)
06/26 03:31:03午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [1][300/391]	Step 1564	Loss 0.5704	Prec@(1,5) (80.4%, 99.1%)
06/26 03:31:04午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [1][350/391]	Step 1564	Loss 0.5688	Prec@(1,5) (80.5%, 99.1%)
06/26 03:31:05午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [1][390/391]	Step 1564	Loss 0.5688	Prec@(1,5) (80.4%, 99.1%)
06/26 03:31:05午後 finetuneTeacher_trainer.py:216 [INFO] Valid: [  1/24] Final Prec@1 80.4040%
06/26 03:31:05午後 finetuneTeacher_main.py:54 [INFO] Until now, best Prec@1 = 80.4040%
06/26 03:31:10午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][50/781]	Step 1614	lr 0.02462	Loss 0.5951 (0.6801)	Prec@(1,5) (77.8%, 98.4%)	
06/26 03:31:13午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][100/781]	Step 1664	lr 0.02462	Loss 0.6149 (0.6524)	Prec@(1,5) (78.4%, 98.6%)	
06/26 03:31:17午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][150/781]	Step 1714	lr 0.02462	Loss 0.4029 (0.6383)	Prec@(1,5) (78.8%, 98.7%)	
06/26 03:31:20午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][200/781]	Step 1764	lr 0.02462	Loss 0.7032 (0.6266)	Prec@(1,5) (79.0%, 98.8%)	
06/26 03:31:23午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][250/781]	Step 1814	lr 0.02462	Loss 0.6638 (0.6259)	Prec@(1,5) (78.9%, 98.8%)	
06/26 03:31:27午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][300/781]	Step 1864	lr 0.02462	Loss 0.5645 (0.6239)	Prec@(1,5) (79.0%, 98.9%)	
06/26 03:31:30午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][350/781]	Step 1914	lr 0.02462	Loss 0.4038 (0.6175)	Prec@(1,5) (79.1%, 98.9%)	
06/26 03:31:34午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][400/781]	Step 1964	lr 0.02462	Loss 0.4190 (0.6157)	Prec@(1,5) (79.2%, 98.9%)	
06/26 03:31:37午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][450/781]	Step 2014	lr 0.02462	Loss 0.5382 (0.6093)	Prec@(1,5) (79.4%, 98.9%)	
06/26 03:31:40午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][500/781]	Step 2064	lr 0.02462	Loss 0.5285 (0.6087)	Prec@(1,5) (79.4%, 98.9%)	
06/26 03:31:44午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][550/781]	Step 2114	lr 0.02462	Loss 0.5207 (0.6063)	Prec@(1,5) (79.5%, 98.9%)	
06/26 03:31:47午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][600/781]	Step 2164	lr 0.02462	Loss 0.5111 (0.6037)	Prec@(1,5) (79.6%, 98.9%)	
06/26 03:31:50午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][650/781]	Step 2214	lr 0.02462	Loss 0.6592 (0.6034)	Prec@(1,5) (79.6%, 98.9%)	
06/26 03:31:53午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][700/781]	Step 2264	lr 0.02462	Loss 0.6350 (0.6006)	Prec@(1,5) (79.7%, 98.9%)	
06/26 03:31:57午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][750/781]	Step 2314	lr 0.02462	Loss 0.4696 (0.5969)	Prec@(1,5) (79.8%, 98.9%)	
06/26 03:31:59午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [2][781/781]	Step 2345	lr 0.02462	Loss 0.5318 (0.5964)	Prec@(1,5) (79.9%, 98.9%)	
06/26 03:31:59午後 finetuneTeacher_trainer.py:181 [INFO] Train: [  2/24] Final Prec@1 79.8520%
06/26 03:32:00午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [2][50/391]	Step 2346	Loss 0.4918	Prec@(1,5) (84.1%, 99.1%)
06/26 03:32:00午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [2][100/391]	Step 2346	Loss 0.4874	Prec@(1,5) (83.9%, 99.3%)
06/26 03:32:01午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [2][150/391]	Step 2346	Loss 0.4779	Prec@(1,5) (84.1%, 99.3%)
06/26 03:32:02午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [2][200/391]	Step 2346	Loss 0.4808	Prec@(1,5) (83.9%, 99.2%)
06/26 03:32:03午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [2][250/391]	Step 2346	Loss 0.4856	Prec@(1,5) (83.6%, 99.3%)
06/26 03:32:03午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [2][300/391]	Step 2346	Loss 0.4841	Prec@(1,5) (83.6%, 99.3%)
06/26 03:32:04午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [2][350/391]	Step 2346	Loss 0.4842	Prec@(1,5) (83.6%, 99.3%)
06/26 03:32:05午後 finetuneTeacher_trainer.py:209 [INFO] Valid: Epoch: [2][390/391]	Step 2346	Loss 0.4842	Prec@(1,5) (83.6%, 99.3%)
06/26 03:32:05午後 finetuneTeacher_trainer.py:216 [INFO] Valid: [  2/24] Final Prec@1 83.6360%
06/26 03:32:06午後 finetuneTeacher_main.py:54 [INFO] Until now, best Prec@1 = 83.6360%
06/26 03:32:10午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [3][50/781]	Step 2396	lr 0.02416	Loss 0.4002 (0.5259)	Prec@(1,5) (81.2%, 99.1%)	
06/26 03:32:13午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [3][100/781]	Step 2446	lr 0.02416	Loss 0.4459 (0.5127)	Prec@(1,5) (82.1%, 99.1%)	
06/26 03:32:16午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [3][150/781]	Step 2496	lr 0.02416	Loss 0.5600 (0.5093)	Prec@(1,5) (82.5%, 99.2%)	
06/26 03:32:20午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [3][200/781]	Step 2546	lr 0.02416	Loss 0.4295 (0.4986)	Prec@(1,5) (83.0%, 99.2%)	
06/26 03:32:23午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [3][250/781]	Step 2596	lr 0.02416	Loss 0.3968 (0.4991)	Prec@(1,5) (82.8%, 99.2%)	
06/26 03:32:26午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [3][300/781]	Step 2646	lr 0.02416	Loss 0.4094 (0.5049)	Prec@(1,5) (82.6%, 99.2%)	
06/26 03:32:30午後 finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [3][350/781]	Step 2696	lr 0.02416	Loss 0.4816 (0.5071)	Prec@(1,5) (82.5%, 99.2%)	
