07/13 07:03:27PM parser.py:28 [INFO] 
07/13 07:03:27PM parser.py:29 [INFO] Parameters:
07/13 07:03:27PM parser.py:31 [INFO] ADVANCED=True
07/13 07:03:27PM parser.py:31 [INFO] BATCH_SIZE=64
07/13 07:03:27PM parser.py:31 [INFO] CIFAR=True
07/13 07:03:27PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/13 07:03:27PM parser.py:31 [INFO] DATA_PATH=../data/
07/13 07:03:27PM parser.py:31 [INFO] DATASET=cifar100
07/13 07:03:27PM parser.py:31 [INFO] DESCRIPTION=pretrained_LR-0.001_minlr-0.0001_warmup-0
07/13 07:03:27PM parser.py:31 [INFO] EPOCHS=100
07/13 07:03:27PM parser.py:31 [INFO] EXP_NAME=pretrained-20240713-190327
07/13 07:03:27PM parser.py:31 [INFO] GPUS=[0]
07/13 07:03:27PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/13 07:03:27PM parser.py:31 [INFO] LR=0.001
07/13 07:03:27PM parser.py:31 [INFO] LR_MIN=0.0001
07/13 07:03:27PM parser.py:31 [INFO] MODEL_NAME=efficientnet_b0
07/13 07:03:27PM parser.py:31 [INFO] MOMENTUM=0.9
07/13 07:03:27PM parser.py:31 [INFO] NAME=FINETUNE2
07/13 07:03:27PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_b0/FINETUNE2/pretrained-20240713-190327
07/13 07:03:27PM parser.py:31 [INFO] PRETRAINED=True
07/13 07:03:27PM parser.py:31 [INFO] SAVE=pretrained
07/13 07:03:27PM parser.py:31 [INFO] SEED=0
07/13 07:03:27PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/13 07:03:27PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/13 07:03:27PM parser.py:31 [INFO] WORKERS=4
07/13 07:03:27PM parser.py:32 [INFO] 
07/13 07:03:27PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
  (0): Dropout(p=0.2, inplace=True)
  (1): Linear(in_features=1280, out_features=100, bias=True)
)
07/13 07:04:06PM trainTeacher_main.py:209 [INFO] Train: [  0/99] Final Prec@1 14.8444%
07/13 07:04:07PM trainTeacher_main.py:237 [INFO] Valid: [  0/99] Final Prec@1 36.7200%
07/13 07:04:07PM trainTeacher_main.py:153 [INFO] model parameters unfreezed!
07/13 07:04:07午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 36.7200%
07/13 07:04:43午後 trainTeacher_main.py:209 [INFO] Train: [  1/99] Final Prec@1 45.8244%
07/13 07:04:44午後 trainTeacher_main.py:237 [INFO] Valid: [  1/99] Final Prec@1 57.4800%
07/13 07:04:45午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 57.4800%
07/13 07:05:21午後 trainTeacher_main.py:209 [INFO] Train: [  2/99] Final Prec@1 60.1356%
07/13 07:05:22午後 trainTeacher_main.py:237 [INFO] Valid: [  2/99] Final Prec@1 66.0000%
07/13 07:05:22午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 66.0000%
07/13 07:05:58午後 trainTeacher_main.py:209 [INFO] Train: [  3/99] Final Prec@1 66.4444%
07/13 07:05:59午後 trainTeacher_main.py:237 [INFO] Valid: [  3/99] Final Prec@1 70.9000%
07/13 07:05:59午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 70.9000%
07/13 07:06:36午後 trainTeacher_main.py:209 [INFO] Train: [  4/99] Final Prec@1 70.3133%
07/13 07:06:37午後 trainTeacher_main.py:237 [INFO] Valid: [  4/99] Final Prec@1 72.7000%
07/13 07:06:37午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 72.7000%
07/13 07:07:13午後 trainTeacher_main.py:209 [INFO] Train: [  5/99] Final Prec@1 72.8822%
07/13 07:07:14午後 trainTeacher_main.py:237 [INFO] Valid: [  5/99] Final Prec@1 74.7200%
07/13 07:07:14午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 74.7200%
07/13 07:07:50午後 trainTeacher_main.py:209 [INFO] Train: [  6/99] Final Prec@1 75.2711%
07/13 07:07:52午後 trainTeacher_main.py:237 [INFO] Valid: [  6/99] Final Prec@1 75.6600%
07/13 07:07:52午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 75.6600%
07/13 07:08:28午後 trainTeacher_main.py:209 [INFO] Train: [  7/99] Final Prec@1 76.9289%
