07/13 07:12:18PM parser.py:28 [INFO] 
07/13 07:12:18PM parser.py:29 [INFO] Parameters:
07/13 07:12:18PM parser.py:31 [INFO] ADVANCED=True
07/13 07:12:18PM parser.py:31 [INFO] BATCH_SIZE=64
07/13 07:12:18PM parser.py:31 [INFO] CIFAR=True
07/13 07:12:18PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/13 07:12:18PM parser.py:31 [INFO] DATA_PATH=../data/
07/13 07:12:18PM parser.py:31 [INFO] DATASET=cifar100
07/13 07:12:18PM parser.py:31 [INFO] DESCRIPTION=pretrained_cosine_LR_features-0.001_classifier-0.01_warmup-0
07/13 07:12:18PM parser.py:31 [INFO] EPOCHS=100
07/13 07:12:18PM parser.py:31 [INFO] EXP_NAME=pretrained-20240713-191218
07/13 07:12:18PM parser.py:31 [INFO] GPUS=[0]
07/13 07:12:18PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/13 07:12:18PM parser.py:31 [INFO] LR=0.001
07/13 07:12:18PM parser.py:31 [INFO] LR_MIN=0.0001
07/13 07:12:18PM parser.py:31 [INFO] MODEL_NAME=efficientnet_b0
07/13 07:12:18PM parser.py:31 [INFO] MOMENTUM=0.9
07/13 07:12:18PM parser.py:31 [INFO] NAME=FINETUNE2
07/13 07:12:18PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_b0/FINETUNE2/pretrained-20240713-191218
07/13 07:12:18PM parser.py:31 [INFO] PRETRAINED=True
07/13 07:12:18PM parser.py:31 [INFO] SAVE=pretrained
07/13 07:12:18PM parser.py:31 [INFO] SEED=0
07/13 07:12:18PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/13 07:12:18PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/13 07:12:18PM parser.py:31 [INFO] WORKERS=4
07/13 07:12:18PM parser.py:32 [INFO] 
07/13 07:12:19PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
  (0): Dropout(p=0.2, inplace=True)
  (1): Linear(in_features=1280, out_features=100, bias=True)
)
07/13 07:13:42PM trainTeacher_main.py:209 [INFO] Train: [  0/99] Final Prec@1 43.1822%
07/13 07:13:44PM trainTeacher_main.py:237 [INFO] Valid: [  0/99] Final Prec@1 64.5200%
07/13 07:13:44PM trainTeacher_main.py:153 [INFO] model parameters unfreezed!
07/13 07:13:44午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 64.5200%
07/13 07:14:58午後 trainTeacher_main.py:209 [INFO] Train: [  1/99] Final Prec@1 67.7222%
07/13 07:15:01午後 trainTeacher_main.py:237 [INFO] Valid: [  1/99] Final Prec@1 72.3200%
07/13 07:15:01午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 72.3200%
07/13 07:16:15午後 trainTeacher_main.py:209 [INFO] Train: [  2/99] Final Prec@1 73.3467%
07/13 07:16:17午後 trainTeacher_main.py:237 [INFO] Valid: [  2/99] Final Prec@1 75.0200%
07/13 07:16:18午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 75.0200%
07/13 07:17:32午後 trainTeacher_main.py:209 [INFO] Train: [  3/99] Final Prec@1 76.7156%
07/13 07:17:34午後 trainTeacher_main.py:237 [INFO] Valid: [  3/99] Final Prec@1 77.7200%
07/13 07:17:34午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 77.7200%
07/13 07:18:48午後 trainTeacher_main.py:209 [INFO] Train: [  4/99] Final Prec@1 79.1200%
07/13 07:18:51午後 trainTeacher_main.py:237 [INFO] Valid: [  4/99] Final Prec@1 78.7400%
07/13 07:18:51午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 78.7400%
07/13 07:20:05午後 trainTeacher_main.py:209 [INFO] Train: [  5/99] Final Prec@1 80.7533%
07/13 07:20:07午後 trainTeacher_main.py:237 [INFO] Valid: [  5/99] Final Prec@1 78.8800%
07/13 07:20:07午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 78.8800%
07/13 07:21:22午後 trainTeacher_main.py:209 [INFO] Train: [  6/99] Final Prec@1 82.1333%
07/13 07:21:24午後 trainTeacher_main.py:237 [INFO] Valid: [  6/99] Final Prec@1 79.7200%
07/13 07:21:24午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 79.7200%
07/13 07:22:38午後 trainTeacher_main.py:209 [INFO] Train: [  7/99] Final Prec@1 83.5267%
