07/15 02:15:49AM parser.py:28 [INFO] 
07/15 02:15:49AM parser.py:29 [INFO] Parameters:
07/15 02:15:49AM parser.py:31 [INFO] ADVANCED=True
07/15 02:15:49AM parser.py:31 [INFO] BATCH_SIZE=64
07/15 02:15:49AM parser.py:31 [INFO] CIFAR=True
07/15 02:15:49AM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/15 02:15:49AM parser.py:31 [INFO] DATA_PATH=../data/
07/15 02:15:49AM parser.py:31 [INFO] DATASET=cifar100
07/15 02:15:49AM parser.py:31 [INFO] DESCRIPTION=pretrained_cosine_LR_features-0.001_classifier-0.01_warmup-0_50Epoch
07/15 02:15:49AM parser.py:31 [INFO] EPOCHS=50
07/15 02:15:49AM parser.py:31 [INFO] EXP_NAME=pretrained-20240715-021549
07/15 02:15:49AM parser.py:31 [INFO] GPUS=[0]
07/15 02:15:49AM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/15 02:15:49AM parser.py:31 [INFO] LR=0.001
07/15 02:15:49AM parser.py:31 [INFO] LR_MIN=0.0001
07/15 02:15:49AM parser.py:31 [INFO] MODEL_NAME=efficientnet_b0
07/15 02:15:49AM parser.py:31 [INFO] MOMENTUM=0.9
07/15 02:15:49AM parser.py:31 [INFO] NAME=FINETUNE2
07/15 02:15:49AM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_b0/FINETUNE2/pretrained-20240715-021549
07/15 02:15:49AM parser.py:31 [INFO] PRETRAINED=True
07/15 02:15:49AM parser.py:31 [INFO] SAVE=pretrained
07/15 02:15:49AM parser.py:31 [INFO] SEED=0
07/15 02:15:49AM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/15 02:15:49AM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/15 02:15:49AM parser.py:31 [INFO] WORKERS=4
07/15 02:15:49AM parser.py:32 [INFO] 
07/15 02:15:49AM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
  (0): Dropout(p=0.2, inplace=True)
  (1): Linear(in_features=1280, out_features=100, bias=True)
)
07/15 02:16:28AM trainTeacher_main.py:209 [INFO] Train: [  0/49] Final Prec@1 43.2200%
07/15 02:16:29AM trainTeacher_main.py:237 [INFO] Valid: [  0/49] Final Prec@1 63.3800%
07/15 02:16:29AM trainTeacher_main.py:153 [INFO] model parameters unfreezed!
07/15 02:16:29午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 63.3800%
07/15 02:17:05午前 trainTeacher_main.py:209 [INFO] Train: [  1/49] Final Prec@1 67.5311%
07/15 02:17:06午前 trainTeacher_main.py:237 [INFO] Valid: [  1/49] Final Prec@1 71.8200%
07/15 02:17:07午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 71.8200%
07/15 02:17:43午前 trainTeacher_main.py:209 [INFO] Train: [  2/49] Final Prec@1 73.2711%
07/15 02:17:44午前 trainTeacher_main.py:237 [INFO] Valid: [  2/49] Final Prec@1 75.2400%
07/15 02:17:44午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 75.2400%
07/15 02:18:20午前 trainTeacher_main.py:209 [INFO] Train: [  3/49] Final Prec@1 76.7356%
07/15 02:18:21午前 trainTeacher_main.py:237 [INFO] Valid: [  3/49] Final Prec@1 78.0000%
07/15 02:18:22午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 78.0000%
07/15 02:18:58午前 trainTeacher_main.py:209 [INFO] Train: [  4/49] Final Prec@1 79.0111%
07/15 02:18:59午前 trainTeacher_main.py:237 [INFO] Valid: [  4/49] Final Prec@1 78.5400%
07/15 02:18:59午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 78.5400%
07/15 02:19:35午前 trainTeacher_main.py:209 [INFO] Train: [  5/49] Final Prec@1 80.7578%
07/15 02:19:37午前 trainTeacher_main.py:237 [INFO] Valid: [  5/49] Final Prec@1 79.0800%
07/15 02:19:37午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 79.0800%
07/15 02:20:13午前 trainTeacher_main.py:209 [INFO] Train: [  6/49] Final Prec@1 82.1156%
07/15 02:20:14午前 trainTeacher_main.py:237 [INFO] Valid: [  6/49] Final Prec@1 79.0200%
07/15 02:20:14午前 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 79.0800%
07/15 02:20:50午前 trainTeacher_main.py:209 [INFO] Train: [  7/49] Final Prec@1 83.4089%
