07/15 03:54:39PM parser.py:28 [INFO] 
07/15 03:54:39PM parser.py:29 [INFO] Parameters:
07/15 03:54:39PM parser.py:31 [INFO] ADVANCED=True
07/15 03:54:39PM parser.py:31 [INFO] BATCH_SIZE=64
07/15 03:54:39PM parser.py:31 [INFO] CIFAR=True
07/15 03:54:39PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/15 03:54:39PM parser.py:31 [INFO] DATA_PATH=../data/
07/15 03:54:39PM parser.py:31 [INFO] DATASET=cifar100
07/15 03:54:39PM parser.py:31 [INFO] DESCRIPTION=pretrained_cosine_LR_features-0.001_classifier-0.01_warmup-50_50Epoch
07/15 03:54:39PM parser.py:31 [INFO] EPOCHS=50
07/15 03:54:39PM parser.py:31 [INFO] EXP_NAME=pretrained-20240715-155439
07/15 03:54:39PM parser.py:31 [INFO] GPUS=[0]
07/15 03:54:39PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/15 03:54:39PM parser.py:31 [INFO] LR=0.001
07/15 03:54:39PM parser.py:31 [INFO] LR_MIN=0.0001
07/15 03:54:39PM parser.py:31 [INFO] MODEL_NAME=efficientnet_b0
07/15 03:54:39PM parser.py:31 [INFO] MOMENTUM=0.9
07/15 03:54:39PM parser.py:31 [INFO] NAME=FINETUNE2
07/15 03:54:39PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_b0/FINETUNE2/pretrained-20240715-155439
07/15 03:54:39PM parser.py:31 [INFO] PRETRAINED=True
07/15 03:54:39PM parser.py:31 [INFO] SAVE=pretrained
07/15 03:54:39PM parser.py:31 [INFO] SEED=0
07/15 03:54:39PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/15 03:54:39PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/15 03:54:39PM parser.py:31 [INFO] WORKERS=4
07/15 03:54:39PM parser.py:32 [INFO] 
07/15 03:54:40PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
  (0): Dropout(p=0.2, inplace=True)
  (1): Linear(in_features=1280, out_features=100, bias=True)
)
07/15 03:55:18PM trainTeacher_main.py:209 [INFO] Train: [  0/49] Final Prec@1 43.3267%
07/15 03:55:20PM trainTeacher_main.py:237 [INFO] Valid: [  0/49] Final Prec@1 64.6800%
07/15 03:55:20午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 64.6800%
07/15 03:55:56午後 trainTeacher_main.py:209 [INFO] Train: [  1/49] Final Prec@1 67.5644%
07/15 03:55:57午後 trainTeacher_main.py:237 [INFO] Valid: [  1/49] Final Prec@1 72.3000%
07/15 03:55:57午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 72.3000%
07/15 03:56:33午後 trainTeacher_main.py:209 [INFO] Train: [  2/49] Final Prec@1 73.2644%
07/15 03:56:35午後 trainTeacher_main.py:237 [INFO] Valid: [  2/49] Final Prec@1 75.5200%
07/15 03:56:35午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 75.5200%
07/15 03:57:11午後 trainTeacher_main.py:209 [INFO] Train: [  3/49] Final Prec@1 76.7667%
07/15 03:57:12午後 trainTeacher_main.py:237 [INFO] Valid: [  3/49] Final Prec@1 77.8000%
07/15 03:57:12午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 77.8000%
07/15 03:57:48午後 trainTeacher_main.py:209 [INFO] Train: [  4/49] Final Prec@1 79.0467%
07/15 03:57:50午後 trainTeacher_main.py:237 [INFO] Valid: [  4/49] Final Prec@1 78.8400%
07/15 03:57:50午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 78.8400%
07/15 03:58:26午後 trainTeacher_main.py:209 [INFO] Train: [  5/49] Final Prec@1 80.7311%
07/15 03:58:27午後 trainTeacher_main.py:237 [INFO] Valid: [  5/49] Final Prec@1 78.7200%
07/15 03:58:27午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 78.8400%
07/15 03:59:03午後 trainTeacher_main.py:209 [INFO] Train: [  6/49] Final Prec@1 82.1467%
07/15 03:59:05午後 trainTeacher_main.py:237 [INFO] Valid: [  6/49] Final Prec@1 79.8800%
07/15 03:59:05午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 79.8800%
07/15 03:59:41午後 trainTeacher_main.py:209 [INFO] Train: [  7/49] Final Prec@1 83.4933%
