07/16 01:17:01AM parser.py:28 [INFO] 
07/16 01:17:01AM parser.py:29 [INFO] Parameters:
07/16 01:17:01AM parser.py:31 [INFO] ADVANCED=True
07/16 01:17:01AM parser.py:31 [INFO] BATCH_SIZE=64
07/16 01:17:01AM parser.py:31 [INFO] CIFAR=True
07/16 01:17:01AM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/16 01:17:01AM parser.py:31 [INFO] DATA_PATH=../data/
07/16 01:17:01AM parser.py:31 [INFO] DATASET=cifar100
07/16 01:17:01AM parser.py:31 [INFO] DESCRIPTION=pretrained_LR_features-0.001_classifier-0.01_cosine_warmup-0
07/16 01:17:01AM parser.py:31 [INFO] EPOCHS=50
07/16 01:17:01AM parser.py:31 [INFO] EXP_NAME=pretrained-20240716-011701
07/16 01:17:01AM parser.py:31 [INFO] GPUS=[0]
07/16 01:17:01AM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/16 01:17:01AM parser.py:31 [INFO] LR=0.001
07/16 01:17:01AM parser.py:31 [INFO] LR_MIN=0.0001
07/16 01:17:01AM parser.py:31 [INFO] MODEL_NAME=efficientnet_v2_m
07/16 01:17:01AM parser.py:31 [INFO] MOMENTUM=0.9
07/16 01:17:01AM parser.py:31 [INFO] NAME=FINETUNE2
07/16 01:17:01AM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_v2_m/FINETUNE2/pretrained-20240716-011701
07/16 01:17:01AM parser.py:31 [INFO] PRETRAINED=True
07/16 01:17:01AM parser.py:31 [INFO] SAVE=pretrained
07/16 01:17:01AM parser.py:31 [INFO] SEED=0
07/16 01:17:01AM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/16 01:17:01AM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/16 01:17:01AM parser.py:31 [INFO] WORKERS=4
07/16 01:17:01AM parser.py:32 [INFO] 
07/16 01:17:02AM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
  (0): Dropout(p=0.3, inplace=True)
  (1): Linear(in_features=1280, out_features=100, bias=True)
)
07/16 01:18:58AM trainTeacher_main.py:210 [INFO] Train: [  0/49] Final Prec@1 55.1311%
07/16 01:19:02AM trainTeacher_main.py:238 [INFO] Valid: [  0/49] Final Prec@1 76.7600%
07/16 01:19:03午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 76.7600%
07/16 01:20:55午前 trainTeacher_main.py:210 [INFO] Train: [  1/49] Final Prec@1 79.0156%
07/16 01:20:58午前 trainTeacher_main.py:238 [INFO] Valid: [  1/49] Final Prec@1 80.6800%
07/16 01:20:59午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 80.6800%
07/16 01:22:51午前 trainTeacher_main.py:210 [INFO] Train: [  2/49] Final Prec@1 84.2933%
07/16 01:22:55午前 trainTeacher_main.py:238 [INFO] Valid: [  2/49] Final Prec@1 81.8000%
07/16 01:22:55午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 81.8000%
07/16 01:24:48午前 trainTeacher_main.py:210 [INFO] Train: [  3/49] Final Prec@1 86.8022%
07/16 01:24:51午前 trainTeacher_main.py:238 [INFO] Valid: [  3/49] Final Prec@1 83.8400%
07/16 01:24:52午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 83.8400%
07/16 01:26:44午前 trainTeacher_main.py:210 [INFO] Train: [  4/49] Final Prec@1 89.3222%
07/16 01:26:47午前 trainTeacher_main.py:238 [INFO] Valid: [  4/49] Final Prec@1 83.5600%
07/16 01:26:47午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 83.8400%
07/16 01:28:40午前 trainTeacher_main.py:210 [INFO] Train: [  5/49] Final Prec@1 90.9956%
07/16 01:28:43午前 trainTeacher_main.py:238 [INFO] Valid: [  5/49] Final Prec@1 84.2800%
07/16 01:28:44午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 84.2800%
07/16 01:30:36午前 trainTeacher_main.py:210 [INFO] Train: [  6/49] Final Prec@1 92.2089%
07/16 01:30:39午前 trainTeacher_main.py:238 [INFO] Valid: [  6/49] Final Prec@1 84.9200%
07/16 01:30:40午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 84.9200%
07/16 01:32:32午前 trainTeacher_main.py:210 [INFO] Train: [  7/49] Final Prec@1 93.3822%
07/16 01:32:35午前 trainTeacher_main.py:238 [INFO] Valid: [  7/49] Final Prec@1 85.1800%
07/16 01:32:36午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.1800%
07/16 01:34:28午前 trainTeacher_main.py:210 [INFO] Train: [  8/49] Final Prec@1 94.2200%
07/16 01:34:32午前 trainTeacher_main.py:238 [INFO] Valid: [  8/49] Final Prec@1 85.1400%
07/16 01:34:32午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.1800%
07/16 01:36:24午前 trainTeacher_main.py:210 [INFO] Train: [  9/49] Final Prec@1 94.8378%
07/16 01:36:28午前 trainTeacher_main.py:238 [INFO] Valid: [  9/49] Final Prec@1 85.2200%
07/16 01:36:28午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.2200%
07/16 01:38:20午前 trainTeacher_main.py:210 [INFO] Train: [ 10/49] Final Prec@1 95.7311%
07/16 01:38:24午前 trainTeacher_main.py:238 [INFO] Valid: [ 10/49] Final Prec@1 84.9800%
07/16 01:38:24午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.2200%
07/16 01:40:16午前 trainTeacher_main.py:210 [INFO] Train: [ 11/49] Final Prec@1 96.3244%
07/16 01:40:20午前 trainTeacher_main.py:238 [INFO] Valid: [ 11/49] Final Prec@1 85.1200%
07/16 01:40:20午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.2200%
07/16 01:42:12午前 trainTeacher_main.py:210 [INFO] Train: [ 12/49] Final Prec@1 96.9222%
07/16 01:42:15午前 trainTeacher_main.py:238 [INFO] Valid: [ 12/49] Final Prec@1 85.4600%
07/16 01:42:16午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.4600%
07/16 01:44:08午前 trainTeacher_main.py:210 [INFO] Train: [ 13/49] Final Prec@1 97.2378%
07/16 01:44:12午前 trainTeacher_main.py:238 [INFO] Valid: [ 13/49] Final Prec@1 85.3200%
07/16 01:44:12午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 85.4600%
