07/15 04:30:48PM parser.py:28 [INFO] 
07/15 04:30:48PM parser.py:29 [INFO] Parameters:
07/15 04:30:48PM parser.py:31 [INFO] ADVANCED=True
07/15 04:30:48PM parser.py:31 [INFO] BATCH_SIZE=64
07/15 04:30:48PM parser.py:31 [INFO] CIFAR=True
07/15 04:30:48PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/15 04:30:48PM parser.py:31 [INFO] DATA_PATH=../data/
07/15 04:30:48PM parser.py:31 [INFO] DATASET=cifar100
07/15 04:30:48PM parser.py:31 [INFO] DESCRIPTION=pretrained_cosine_LR_features-0.001_classifier-0.01_warmup-50_50Epoch
07/15 04:30:48PM parser.py:31 [INFO] EPOCHS=50
07/15 04:30:48PM parser.py:31 [INFO] EXP_NAME=pretrained-20240715-163048
07/15 04:30:48PM parser.py:31 [INFO] GPUS=[0]
07/15 04:30:48PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/15 04:30:48PM parser.py:31 [INFO] LR=0.001
07/15 04:30:48PM parser.py:31 [INFO] LR_MIN=0.0001
07/15 04:30:48PM parser.py:31 [INFO] MODEL_NAME=efficientnet_v2_s
07/15 04:30:48PM parser.py:31 [INFO] MOMENTUM=0.9
07/15 04:30:48PM parser.py:31 [INFO] NAME=FINETUNE2
07/15 04:30:48PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_v2_s/FINETUNE2/pretrained-20240715-163048
07/15 04:30:48PM parser.py:31 [INFO] PRETRAINED=True
07/15 04:30:48PM parser.py:31 [INFO] SAVE=pretrained
07/15 04:30:48PM parser.py:31 [INFO] SEED=0
07/15 04:30:48PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/15 04:30:48PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/15 04:30:48PM parser.py:31 [INFO] WORKERS=4
07/15 04:30:48PM parser.py:32 [INFO] 
07/15 04:30:54PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
  (0): Dropout(p=0.2, inplace=True)
  (1): Linear(in_features=1280, out_features=100, bias=True)
)
07/15 04:32:02PM trainTeacher_main.py:209 [INFO] Train: [  0/49] Final Prec@1 55.3178%
07/15 04:32:04PM trainTeacher_main.py:237 [INFO] Valid: [  0/49] Final Prec@1 75.4200%
07/15 04:32:04午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 75.4200%
07/15 04:33:09午後 trainTeacher_main.py:209 [INFO] Train: [  1/49] Final Prec@1 77.1044%
07/15 04:33:11午後 trainTeacher_main.py:237 [INFO] Valid: [  1/49] Final Prec@1 79.1400%
07/15 04:33:11午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 79.1400%
07/15 04:34:16午後 trainTeacher_main.py:209 [INFO] Train: [  2/49] Final Prec@1 81.9133%
07/15 04:34:18午後 trainTeacher_main.py:237 [INFO] Valid: [  2/49] Final Prec@1 81.3600%
07/15 04:34:18午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 81.3600%
07/15 04:35:23午後 trainTeacher_main.py:209 [INFO] Train: [  3/49] Final Prec@1 84.9844%
07/15 04:35:25午後 trainTeacher_main.py:237 [INFO] Valid: [  3/49] Final Prec@1 82.7000%
07/15 04:35:25午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.7000%
07/15 04:36:30午後 trainTeacher_main.py:209 [INFO] Train: [  4/49] Final Prec@1 87.1756%
07/15 04:36:32午後 trainTeacher_main.py:237 [INFO] Valid: [  4/49] Final Prec@1 82.5800%
07/15 04:36:32午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 82.7000%
07/15 04:37:37午後 trainTeacher_main.py:209 [INFO] Train: [  5/49] Final Prec@1 88.8467%
07/15 04:37:39午後 trainTeacher_main.py:237 [INFO] Valid: [  5/49] Final Prec@1 83.6800%
07/15 04:37:39午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.6800%
07/15 04:38:44午後 trainTeacher_main.py:209 [INFO] Train: [  6/49] Final Prec@1 90.2867%
07/15 04:38:46午後 trainTeacher_main.py:237 [INFO] Valid: [  6/49] Final Prec@1 83.7400%
07/15 04:38:46午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.7400%
07/15 04:39:51午後 trainTeacher_main.py:209 [INFO] Train: [  7/49] Final Prec@1 91.5156%
