07/15 11:28:13PM parser.py:28 [INFO] 
07/15 11:28:13PM parser.py:29 [INFO] Parameters:
07/15 11:28:13PM parser.py:31 [INFO] ADVANCED=True
07/15 11:28:13PM parser.py:31 [INFO] BATCH_SIZE=64
07/15 11:28:13PM parser.py:31 [INFO] CIFAR=True
07/15 11:28:13PM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/15 11:28:13PM parser.py:31 [INFO] DATA_PATH=../data/
07/15 11:28:13PM parser.py:31 [INFO] DATASET=cifar100
07/15 11:28:13PM parser.py:31 [INFO] DESCRIPTION=all_params_lr-0.001_cosine_warmup=0
07/15 11:28:13PM parser.py:31 [INFO] EPOCHS=50
07/15 11:28:13PM parser.py:31 [INFO] EXP_NAME=pretrained-20240715-232813
07/15 11:28:13PM parser.py:31 [INFO] GPUS=[0]
07/15 11:28:13PM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/15 11:28:13PM parser.py:31 [INFO] LR=0.001
07/15 11:28:13PM parser.py:31 [INFO] LR_MIN=0.0001
07/15 11:28:13PM parser.py:31 [INFO] MODEL_NAME=efficientnet_v2_s
07/15 11:28:13PM parser.py:31 [INFO] MOMENTUM=0.9
07/15 11:28:13PM parser.py:31 [INFO] NAME=FINETUNE2
07/15 11:28:13PM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_v2_s/FINETUNE2/pretrained-20240715-232813
07/15 11:28:13PM parser.py:31 [INFO] PRETRAINED=True
07/15 11:28:13PM parser.py:31 [INFO] SAVE=pretrained
07/15 11:28:13PM parser.py:31 [INFO] SEED=0
07/15 11:28:13PM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/15 11:28:13PM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/15 11:28:13PM parser.py:31 [INFO] WORKERS=4
07/15 11:28:13PM parser.py:32 [INFO] 
07/15 11:28:14PM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
  (0): Dropout(p=0.2, inplace=True)
  (1): Linear(in_features=1280, out_features=100, bias=True)
)
07/15 11:29:22PM trainTeacher_main.py:209 [INFO] Train: [  0/49] Final Prec@1 25.7822%
07/15 11:29:24PM trainTeacher_main.py:237 [INFO] Valid: [  0/49] Final Prec@1 62.8200%
07/15 11:29:24PM trainTeacher_main.py:153 [INFO] model parameters unfreezed!
07/15 11:29:24午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 62.8200%
07/15 11:30:29午後 trainTeacher_main.py:209 [INFO] Train: [  1/49] Final Prec@1 68.3644%
07/15 11:30:31午後 trainTeacher_main.py:237 [INFO] Valid: [  1/49] Final Prec@1 75.6400%
07/15 11:30:31午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 75.6400%
07/15 11:31:36午後 trainTeacher_main.py:209 [INFO] Train: [  2/49] Final Prec@1 76.7422%
07/15 11:31:38午後 trainTeacher_main.py:237 [INFO] Valid: [  2/49] Final Prec@1 79.2400%
07/15 11:31:39午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 79.2400%
07/15 11:32:43午後 trainTeacher_main.py:209 [INFO] Train: [  3/49] Final Prec@1 80.9800%
07/15 11:32:45午後 trainTeacher_main.py:237 [INFO] Valid: [  3/49] Final Prec@1 81.2200%
07/15 11:32:46午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 81.2200%
07/15 11:33:50午後 trainTeacher_main.py:209 [INFO] Train: [  4/49] Final Prec@1 83.7467%
07/15 11:33:52午後 trainTeacher_main.py:237 [INFO] Valid: [  4/49] Final Prec@1 81.7200%
07/15 11:33:53午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 81.7200%
07/15 11:34:57午後 trainTeacher_main.py:209 [INFO] Train: [  5/49] Final Prec@1 85.7000%
07/15 11:34:59午後 trainTeacher_main.py:237 [INFO] Valid: [  5/49] Final Prec@1 83.2600%
07/15 11:35:00午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.2600%
07/15 11:36:05午後 trainTeacher_main.py:209 [INFO] Train: [  6/49] Final Prec@1 87.4867%
07/15 11:36:06午後 trainTeacher_main.py:237 [INFO] Valid: [  6/49] Final Prec@1 83.3200%
07/15 11:36:07午後 trainTeacher_main.py:179 [INFO] Until now, best Prec@1 = 83.3200%
07/15 11:37:11午後 trainTeacher_main.py:209 [INFO] Train: [  7/49] Final Prec@1 88.7956%
