07/16 12:21:08AM parser.py:28 [INFO] 
07/16 12:21:08AM parser.py:29 [INFO] Parameters:
07/16 12:21:08AM parser.py:31 [INFO] ADVANCED=True
07/16 12:21:08AM parser.py:31 [INFO] BATCH_SIZE=64
07/16 12:21:08AM parser.py:31 [INFO] CIFAR=True
07/16 12:21:08AM parser.py:31 [INFO] CUTOUT_LENGTH=16
07/16 12:21:08AM parser.py:31 [INFO] DATA_PATH=../data/
07/16 12:21:08AM parser.py:31 [INFO] DATASET=cifar100
07/16 12:21:08AM parser.py:31 [INFO] DESCRIPTION=pretrained_LR_features-0.001_classifier-0.01_cosine_warmup-0
07/16 12:21:08AM parser.py:31 [INFO] EPOCHS=50
07/16 12:21:08AM parser.py:31 [INFO] EXP_NAME=pretrained-20240716-002108
07/16 12:21:08AM parser.py:31 [INFO] GPUS=[0]
07/16 12:21:08AM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
07/16 12:21:08AM parser.py:31 [INFO] LR=0.001
07/16 12:21:08AM parser.py:31 [INFO] LR_MIN=0.0001
07/16 12:21:08AM parser.py:31 [INFO] MODEL_NAME=efficientnet_v2_s
07/16 12:21:08AM parser.py:31 [INFO] MOMENTUM=0.9
07/16 12:21:08AM parser.py:31 [INFO] NAME=FINETUNE2
07/16 12:21:08AM parser.py:31 [INFO] PATH=results/teacher/cifar100/efficientnet_v2_s/FINETUNE2/pretrained-20240716-002108
07/16 12:21:08AM parser.py:31 [INFO] PRETRAINED=True
07/16 12:21:08AM parser.py:31 [INFO] SAVE=pretrained
07/16 12:21:08AM parser.py:31 [INFO] SEED=0
07/16 12:21:08AM parser.py:31 [INFO] TRAIN_PORTION=0.9
07/16 12:21:08AM parser.py:31 [INFO] WEIGHT_DECAY=0.0003
07/16 12:21:08AM parser.py:31 [INFO] WORKERS=4
07/16 12:21:08AM parser.py:32 [INFO] 
07/16 12:21:09AM trainTeacher_main.py:114 [INFO] model classifier is replaced to Sequential(
  (0): Dropout(p=0.2, inplace=True)
  (1): Linear(in_features=1280, out_features=100, bias=True)
)
07/16 12:22:17AM trainTeacher_main.py:210 [INFO] Train: [  0/49] Final Prec@1 55.1711%
07/16 12:22:19AM trainTeacher_main.py:238 [INFO] Valid: [  0/49] Final Prec@1 74.5400%
07/16 12:22:19午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 74.5400%
07/16 12:23:24午前 trainTeacher_main.py:210 [INFO] Train: [  1/49] Final Prec@1 77.1733%
07/16 12:23:26午前 trainTeacher_main.py:238 [INFO] Valid: [  1/49] Final Prec@1 79.0600%
07/16 12:23:26午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 79.0600%
07/16 12:24:31午前 trainTeacher_main.py:210 [INFO] Train: [  2/49] Final Prec@1 81.9244%
07/16 12:24:33午前 trainTeacher_main.py:238 [INFO] Valid: [  2/49] Final Prec@1 81.1600%
07/16 12:24:33午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 81.1600%
07/16 12:25:38午前 trainTeacher_main.py:210 [INFO] Train: [  3/49] Final Prec@1 84.8689%
07/16 12:25:40午前 trainTeacher_main.py:238 [INFO] Valid: [  3/49] Final Prec@1 82.6600%
07/16 12:25:40午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 82.6600%
07/16 12:26:45午前 trainTeacher_main.py:210 [INFO] Train: [  4/49] Final Prec@1 87.0378%
07/16 12:26:47午前 trainTeacher_main.py:238 [INFO] Valid: [  4/49] Final Prec@1 82.8200%
07/16 12:26:47午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 82.8200%
07/16 12:27:52午前 trainTeacher_main.py:210 [INFO] Train: [  5/49] Final Prec@1 88.8533%
07/16 12:27:54午前 trainTeacher_main.py:238 [INFO] Valid: [  5/49] Final Prec@1 83.9800%
07/16 12:27:54午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 83.9800%
07/16 12:28:59午前 trainTeacher_main.py:210 [INFO] Train: [  6/49] Final Prec@1 90.4756%
07/16 12:29:01午前 trainTeacher_main.py:238 [INFO] Valid: [  6/49] Final Prec@1 83.8200%
07/16 12:29:01午前 trainTeacher_main.py:180 [INFO] Until now, best Prec@1 = 83.9800%
07/16 12:30:06午前 trainTeacher_main.py:210 [INFO] Train: [  7/49] Final Prec@1 91.6556%
