06/26 12:15:57AM parser.py:28 [INFO] 
06/26 12:15:57AM parser.py:29 [INFO] Parameters:
06/26 12:15:57AM parser.py:31 [INFO] BATCH_SIZE=64
06/26 12:15:57AM parser.py:31 [INFO] CUTOUT_LENGTH=0
06/26 12:15:57AM parser.py:31 [INFO] DATA_PATH=../data/
06/26 12:15:57AM parser.py:31 [INFO] DATASET=cifar100
06/26 12:15:57AM parser.py:31 [INFO] EPOCHS=50
06/26 12:15:57AM parser.py:31 [INFO] EXP_NAME=E50-20240626-001557
06/26 12:15:57AM parser.py:31 [INFO] GPUS=[0]
06/26 12:15:57AM parser.py:31 [INFO] LOCAL_RANK=0
06/26 12:15:57AM parser.py:31 [INFO] LOGGER=<Logger H-DAS (INFO)>
06/26 12:15:57AM parser.py:31 [INFO] MODEL_NAME=wide_resnet50_2
06/26 12:15:57AM parser.py:31 [INFO] NAME=FINETUNE
06/26 12:15:57AM parser.py:31 [INFO] PATH=results/teacher/cifar100/wide_resnet50_2/FINETUNE/E50-20240626-001557
06/26 12:15:57AM parser.py:31 [INFO] PLOT_PATH=results/teacher/cifar100/wide_resnet50_2/FINETUNE/E50-20240626-001557/plots
06/26 12:15:57AM parser.py:31 [INFO] PRINT_FREQ=50
06/26 12:15:57AM parser.py:31 [INFO] RESUME_PATH=None
06/26 12:15:57AM parser.py:31 [INFO] SAVE=E50
06/26 12:15:57AM parser.py:31 [INFO] SEED=0
06/26 12:15:57AM parser.py:31 [INFO] TRAIN_PORTION=1.0
06/26 12:15:57AM parser.py:31 [INFO] W_GRAD_CLIP=5.0
06/26 12:15:57AM parser.py:31 [INFO] W_LR=0.025
06/26 12:15:57AM parser.py:31 [INFO] W_LR_MIN=0.001
06/26 12:15:57AM parser.py:31 [INFO] W_MOMENTUM=0.9
06/26 12:15:57AM parser.py:31 [INFO] W_WEIGHT_DECAY=0.0003
06/26 12:15:57AM parser.py:31 [INFO] WORKERS=4
06/26 12:15:57AM parser.py:32 [INFO] 
06/26 12:16:01AM finetuneTeacher_trainer.py:109 [INFO] --> No loaded checkpoint!
06/26 12:16:04AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][50/781]	Step 50	lr 0.025	Loss 4.4445 (4.5300)	Prec@(1,5) (4.2%, 12.2%)	
06/26 12:16:06AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][100/781]	Step 100	lr 0.025	Loss 3.8009 (4.2913)	Prec@(1,5) (7.3%, 20.5%)	
06/26 12:16:08AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][150/781]	Step 150	lr 0.025	Loss 3.5407 (4.1084)	Prec@(1,5) (9.6%, 26.3%)	
06/26 12:16:09AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][200/781]	Step 200	lr 0.025	Loss 3.5747 (3.9622)	Prec@(1,5) (11.8%, 31.0%)	
06/26 12:16:11AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][250/781]	Step 250	lr 0.025	Loss 3.2961 (3.8743)	Prec@(1,5) (13.2%, 33.6%)	
06/26 12:16:13AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][300/781]	Step 300	lr 0.025	Loss 3.6092 (3.7910)	Prec@(1,5) (14.3%, 36.0%)	
06/26 12:16:15AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][350/781]	Step 350	lr 0.025	Loss 3.3322 (3.7215)	Prec@(1,5) (15.3%, 38.0%)	
06/26 12:16:17AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][400/781]	Step 400	lr 0.025	Loss 3.4105 (3.6698)	Prec@(1,5) (16.0%, 39.4%)	
06/26 12:16:18AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][450/781]	Step 450	lr 0.025	Loss 3.3269 (3.6142)	Prec@(1,5) (16.8%, 40.9%)	
06/26 12:16:20AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][500/781]	Step 500	lr 0.025	Loss 3.0558 (3.5639)	Prec@(1,5) (17.5%, 42.3%)	
06/26 12:16:21AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][550/781]	Step 550	lr 0.025	Loss 3.5183 (3.5229)	Prec@(1,5) (18.2%, 43.4%)	
06/26 12:16:23AM finetuneTeacher_trainer.py:171 [INFO] Train: Epoch: [0][600/781]	Step 600	lr 0.025	Loss 2.7434 (3.4905)	Prec@(1,5) (18.7%, 44.2%)	
