,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,手法名,試行数,,,,,,,,,,,,,,,,,,,,,,,,
,30-20カリキュラム,5,,,,,,,,,,,,,,,,,,,,,,,,
,11セルネットワーク,10,,,,,,,,,,,,,,,,,,,,,,,,
,20セルネットワーク,10,,,,,,,,,,,,,,,,,,,,,,,,
,32セルネットワーク,10,,,,,,,,,,,,,,,,,,,,,,,,
,32セル・制約項なし,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,seed,パラメタ数(K),MAC数(M),32セル・30−30カリキュラム（平均）,32セル・30−30カリキュラム,制約項重み(30-30カリキュラム),32セル・カリキュラムなし(平均),32セル・カリキュラムなし,制約項重み(カリキュラムなし),32セル・制約なし（平均）,32セル・制約なし,32セル・カリキュラムあり(平均),32セル・カリキュラムあり,制約項重み,11セル(平均),11セル,20セル（平均）,20セル,32セル（平均）,32セル,20セルアナログ（平均）,20セルアナログ,20セル（離散化リセット）（平均）,20セル（離散化リセット）,20セルアナログリセット（平均）,20セルアナログリセット
,,834.905,13.771,,,,,,,,,,,,,,,,68.04%,,,,,,,
,,589.900,8.238,,,,,,,,,,,,,,69.34%,,,,,,,,,
,,406.316,4.088,,,,,,,,,,,,69.43%,,,,,,,,,,,
,,375.430,4.060,,,,,,,,,68.12%,,Avg.γ=1,,,,,,,,,,,,
,,399.442,4.577,,,,,,,,,68.46%,,Avg.γ=0.1,,,,,,,,,,,,
,,441.708,4.988,,,,,,,,,68.35%,,Avg.γ=0.01,,,,,,,,,,,,
,,423.942,5.856,,,,,,,,,69.11%,,Avg.γ=0.001,,,,,,,,,,,,
,,438.738,5.403,,,,,,,,,68.66%,,Avg.γ=-0.001,,,,,,,,,,,,
,,511.660,9.891,,,,,,,,,69.23%,,Avg.γ=-0.01,,,,,,,,,,,,
,,567.750,12.581,,,,,,,,,68.79%,,Avg.γ=-0.1,,,,,,,,,,,,
